delete_reason,batch,Final label,Confidence,Keywords
"beda musim jadinya gak pernah datang dan susah berkomunikasi, sudah coba berkomunikasi tapi tidak terlalu ada hasil",batch : 2 of 48 row: 8,perbedaan_musim_kehidupan,80%,"beda musim, tidak datang, susah komunikasi"
domisili luar kota,batch : 2 of 48 row: 9,lokasi,95%,"domisili luar kota, relokasi"
Tidak ada pertumbuhan dan tidak ada relationship dengan DM lain,batch : 2 of 48 row: 10,others,65%,"tidak ada pertumbuhan, relationship, ambigu"
Tidak ada pertumbuhan dan tidak ada relationship dengan DM lain,batch : 3 of 48 row: 1,others,65%,"tidak ada pertumbuhan, relationship, ambigu"
"Amggie memutuskan utk fokus bekerja skrg krn byk business trip jg ke luar kota, jd gak bisa DATE dl",batch : 3 of 48 row: 2,perbedaan_musim_kehidupan,85%,"fokus bekerja, business trip, komitmen besar"
pindah date area lokasi tapi gak bisa ditrasfer jadinya delete dulu biar DL nya bisa add sendiri,batch : 3 of 48 row: 3,alasan_DATE,80%,"pindah date area, transfer gagal, delete"
mengundurkan diri,batch : 3 of 48 row: 4,others,45%,"mengundurkan diri, tidak jelas, minimal info"
"jarang beribadah di JPCC namun beribadah di gereja lain, dan jadwal DATE sering terbentur dgn pekerjaan.",batch : 3 of 48 row: 5,tertanam_di_gereja_lain,75%,"gereja lain, jadwal bentur, jarang JPCC"
"jarang beribadah di JPCC dan jarang hadir dalam DATE, namun beribadah di gereja lain atas permintaan orang tua.",batch : 3 of 48 row: 6,tertanam_di_gereja_lain,85%,"gereja lain, permintaan orang tua, jarang hadir"
Pindah ke Date yang lain,batch : 3 of 48 row: 7,alasan_DATE,90%,"pindah date, transfer group, DATE lain"
Pindah ke Date yang lain,batch : 3 of 48 row: 8,alasan_DATE,90%,"pindah date, transfer group, DATE lain"
Pindah ke luar kota (Magelang).,batch : 3 of 48 row: 9,lokasi,95%,"pindah luar kota, Magelang, relokasi"
"baru putus, then felt lost. Uda dikasih kesempatan tetap join di DATE tp menolak.",batch : 3 of 48 row: 10,others,70%,"putus, lost, menolak DATE"
double data,batch : 4 of 48 row: 1,Admin,85%,"double data, administrative error"
DM pindah ke luar negeri for good,batch : 4 of 48 row: 2,lokasi,95%,"pindah luar negeri, relocation"
pindah kota,batch : 4 of 48 row: 3,lokasi,95%,"pindah kota, relocation"
seharusnya Masih probation tapi Salah accept,batch : 4 of 48 row: 4,Admin,90%,"probation, salah accept, administrative"
Sudah pulang ke Rumah Bapa.,batch : 4 of 48 row: 5,others,75%,"pulang ke Rumah Bapa, deceased"
Pindah ke date yang online/hybrid,batch : 4 of 48 row: 6,alasan_DATE,85%,"pindah date, online/hybrid"
pindah ke date yang online/hybrid,batch : 4 of 48 row: 7,alasan_DATE,85%,"pindah date, online/hybrid"
"mau cari date yg online, tapi mau cari sendiri",batch : 4 of 48 row: 8,alasan_DATE,80%,"cari date online, personal choice"
"Kak Ine berpindah tugas di Kupang untuk beberapa tahun ke depan dan belum ada kepastian kapan waktunya. sehingga telah disepakati antara DM,DL dan DF untuk mendoakan ybs untuk tertanam di gereja lokal lain di sana. Thank you",batch : 4 of 48 row: 9,lokasi,90%,"pindah tugas Kupang, relocation"
"sudah lebih dari 4 bulan Sem & Lena ga ikut date. dan secara personal susah dihubungi. sudah beberapa kali saya ajak ketemuan 1on1 tapi ga ada respon. whatsapp juga sering tidak dibalas dan klo dibalas pun butuh beberapa hari. Saat ini Lena juga sudah working full time di lampung, jadi sudah tidak di jakarta. Sebelumnya mereka bergumul perihal keuangan karena Sem sudah tidak bekerja. Kondisi terakhir Sem ada meminjam uang dari saya. Dan saya sudah berusaha untuk memberikan support sebaik kemampuan saya.",batch : 4 of 48 row: 10,tidak_ada_respon,85%,"susah dihubungi, tidak balas, missing"
pindah ke pekanbaru,batch : 5 of 48 row: 1,lokasi,95%,"pindah, pekanbaru, relokasi"
akan berpindah gereja di tempat calon suami nya dan rencana akan tertanam disana juga.,batch : 5 of 48 row: 2,perbedaan_musim_kehidupan,90%,"menikah, calon suami, pindah gereja"
under probation,batch : 5 of 48 row: 3,Admin,95%,"probation, status, administratif"
Beliau sudah kembali ke rumah Bapa di sorga,batch : 5 of 48 row: 4,others,98%,"meninggal, wafat, rumah Bapa"
sudah meninggal,batch : 5 of 48 row: 5,others,98%,"meninggal, wafat, deceased"
pindah negara,batch : 5 of 48 row: 6,lokasi,95%,"pindah, negara, relokasi"
"Sistem otomatis menaikan status menjadi DM. Seharusnya tetap probation. Sudah membuat tiket resolve, dan diminta remove manual",batch : 5 of 48 row: 7,Admin,98%,"sistem otomatis, error, tiket resolve"
kembali ke surabaya,batch : 5 of 48 row: 8,lokasi,95%,"kembali, surabaya, relokasi"
pindah ke Bali,batch : 5 of 48 row: 9,lokasi,95%,"pindah, Bali, relokasi"
member memutuskan untuk pindah gereja,batch : 5 of 48 row: 10,tertanam_di_gereja_lain,90%,"pindah gereja, keputusan, gereja lain"
Pindah ke Malaysia,batch : 6 of 48 row: 1,lokasi,95%,"pindah, Malaysia, relokasi"
pindah ke Malaysia,batch : 6 of 48 row: 2,lokasi,95%,"pindah, Malaysia, relokasi"
pindah date ke sudirman 17,batch : 6 of 48 row: 3,alasan_DATE,90%,"pindah date, sudirman 17, DATE change"
pindah date,batch : 6 of 48 row: 4,alasan_DATE,85%,"pindah date, DATE change, relokasi DATE"
Pindah Gereja,batch : 6 of 48 row: 5,tertanam_di_gereja_lain,90%,"pindah gereja, gereja lain, relokasi gereja"
"ingin join Date Married Couple, rencana join ke Date baru (Brenda Yohan) kemungkinan akhir tahun",batch : 6 of 48 row: 6,alasan_DATE,80%,"join Date baru, DATE change, Brenda Yohan"
"ingin join Date Married Couple, rencana join ke Date baru (Brenda & Yohan) mungkin akhir tahun",batch : 6 of 48 row: 7,alasan_DATE,80%,"join Date baru, DATE change, Brenda Yohan"
hans pindah ke date istri di gading serpong 33,batch : 6 of 48 row: 8,alasan_DATE,85%,"pindah date, gading serpong, DATE relokasi"
Jarang Hadir & Melihat anggotanya banyak couple,batch : 6 of 48 row: 9,others,60%,"jarang hadir, couple, ambigu"
melanjutkan S2 ke USA,batch : 6 of 48 row: 10,perbedaan_musim_kehidupan,90%,"S2, USA, jenjang studi"
salah pencet harusnya probation dulu,batch : 7 of 48 row: 1,Admin,95%,"salah pencet, probation, kesalahan"
belum tertanam di gereja,batch : 7 of 48 row: 2,tertanam_di_gereja_lain,90%,"belum tertanam, gereja"
masih belum dapat rutin hadir DATE,batch : 7 of 48 row: 3,alasan_DATE,85%,"rutin hadir, DATE, belum dapat"
meninggal dunia,batch : 7 of 48 row: 4,others,95%,"meninggal dunia, wafat"
"seperti ada kesalahan sistem di myjpcc, tiba2x masuk disistem setelah salah satu DM transfer dr date lama ke date sy",batch : 7 of 48 row: 5,Admin,90%,"kesalahan sistem, myjpcc, transfer"
"Mau bertumbuh di DATE yg lain, karena perbedaan visi DATE dgn DM",batch : 7 of 48 row: 6,alasan_DATE,88%,"perbedaan visi, DATE, DM"
tidak permah,batch : 7 of 48 row: 7,tidak_ada_respon,85%,"tidak pernah, minim respons"
menikah dan pindah keluar kota,batch : 7 of 48 row: 8,perbedaan_musim_kehidupan,92%,"menikah, pindah keluar kota"
"Sejak Februari tidak hadir di DATE, di WA tidak merespon & ditelefon tidak diangkat.",batch : 7 of 48 row: 9,tidak_ada_respon,95%,"tidak hadir, tidak merespon, tidak diangkat"
Move to another Church,batch : 7 of 48 row: 10,tertanam_di_gereja_lain,90%,"move, another church"
Move to another Church,batch : 8 of 48 row: 1,tertanam_di_gereja_lain,95%,"move, another church, switch"
sudah tidak di jakarta,batch : 8 of 48 row: 2,lokasi,90%,"tidak di jakarta, pindah lokasi, keluar kota"
sudah tidak di jakarta,batch : 8 of 48 row: 3,lokasi,90%,"tidak di jakarta, pindah lokasi, keluar kota"
tidak ada date member tsb,batch : 8 of 48 row: 4,alasan_DATE,85%,"tidak ada date, date member, kelompok DATE"
salah pencet hrsnya accept probation,batch : 8 of 48 row: 5,Admin,92%,"salah pencet, human error, kesalahan input"
Must probation,batch : 8 of 48 row: 6,Admin,88%,"probation, status administratif, belum aktif"
diwakili oleh istri,batch : 8 of 48 row: 7,Admin,85%,"diwakili istri, perubahan data, representasi"
diwakili oleh suami,batch : 8 of 48 row: 8,Admin,85%,"diwakili suami, perubahan data, representasi"
diwakili oleh suami,batch : 8 of 48 row: 9,Admin,85%,"diwakili suami, perubahan data, representasi"
"salah masukin. harus nya orang tua, tapi di bikin spouse",batch : 8 of 48 row: 10,Admin,90%,"salah input, orang tua bukan spouse, human error"
for good ke timika,batch : 9 of 48 row: 1,lokasi,85%,"pindah, Timika, relokasi"
komit untuk stay di Date GS 30,batch : 9 of 48 row: 2,Admin,90%,"komit, stay, DATE GS 30"
"Minta keluar DATE krn lack of commitment & punya alasan, mulai WFO lg jd merasa kecapaian bgt kl DATE",batch : 9 of 48 row: 3,alasan_DATE,88%,"lack of commitment, DATE, kecapaian"
melanjutkan studi S2 ke negara lain,batch : 9 of 48 row: 4,perbedaan_musim_kehidupan,92%,"S2, negara lain, studi"
Desi menikah tanggal 18 Mei 2024 di Bandung & tinggal bersama suaminya di Bandung. Dia akan mencari komunitas di Gereja Lokal.,batch : 9 of 48 row: 5,perbedaan_musim_kehidupan,90%,"menikah, Bandung, suami"
DM diluar kota dan jarang bisa mengikuti Date,batch : 9 of 48 row: 6,waktu_tidak_sesuai,85%,"luar kota, jarang, DATE"
Pindah ke komunitas gereja lainnya,batch : 9 of 48 row: 7,tertanam_di_gereja_lain,92%,"pindah, komunitas gereja, lainnya"
pindah ke luar negeri,batch : 9 of 48 row: 8,lokasi,95%,"luar negeri, pindah, relokasi"
pindah ke luat negeri untuk melanjutkan pendidikan,batch : 9 of 48 row: 9,lokasi,93%,"luar negeri, pendidikan, pindah"
sudah meninggal :'(,batch : 9 of 48 row: 10,others,95%,"meninggal, wafat, deceased"
Tidak pernah hadir (lebih dr 6 bulan) dan group perlu tambah member baru,batch : 10 of 48 row: 1,tidak_ada_respon,95%,"tidak pernah hadir, 6 bulan, missing"
S2 d luar negeri,batch : 10 of 48 row: 2,lokasi,95%,"S2, luar negeri, relokasi"
pindah Date baru,batch : 10 of 48 row: 3,alasan_DATE,90%,"pindah DATE, kelompok, transfer"
"Double Account, sudah dipastikan yang aktif adalah akun yang satunya (gmail). -Bintoro",batch : 10 of 48 row: 4,Admin,95%,"double account, error administratif, duplikat"
Bergumul dengan diri sendiri dan ada suatu hal yg tidak bisa diceritakan,batch : 10 of 48 row: 5,others,85%,"bergumul pribadi, tidak bisa diceritakan, ambigu"
Terkendala jarak dan waktu dalam beberapa waktu terakhir,batch : 10 of 48 row: 6,waktu_tidak_sesuai,80%,"jarak, waktu, terkendala"
Pindah kota (ke Bali),batch : 10 of 48 row: 7,lokasi,95%,"pindah kota, Bali, relokasi"
date akan berpindah,batch : 10 of 48 row: 8,alasan_DATE,90%,"DATE berpindah, kelompok, transfer"
Felicia telah menemukan gereja lain yang lebih cocok dengan hatinya dan memilih untuk bergereja di sana. Felicia permisi dengan baik baik dengan teman-teman saat DATE.,batch : 10 of 48 row: 9,tertanam_di_gereja_lain,95%,"gereja lain, lebih cocok, memilih"
"dm minta sendiri, krn ga mungkin bersama lagi dengan suaminya (proses pengadilan perceraian)",batch : 10 of 48 row: 10,perbedaan_musim_kehidupan,85%,"perceraian, perubahan hidup, suami"
Pindah ke Australia,batch : 11 of 48 row: 1,lokasi,95%,"pindah, Australia, relokasi"
pindah ke australia,batch : 11 of 48 row: 2,lokasi,95%,"pindah, australia, relokasi"
mau cari date married couple krn sudah menikah,batch : 11 of 48 row: 3,perbedaan_musim_kehidupan,90%,"menikah, married couple, fase hidup"
pindah keluar negeri,batch : 11 of 48 row: 4,lokasi,95%,"pindah, keluar negeri, relokasi"
Sesuai dengan keputusan sendiri,batch : 11 of 48 row: 5,others,45%,"keputusan sendiri, ambigu, tidak jelas"
Pindah keluar kota.,batch : 11 of 48 row: 6,lokasi,95%,"pindah, keluar kota, relokasi"
Sudah pindah ke USA,batch : 11 of 48 row: 7,lokasi,95%,"pindah, USA, relokasi"
kepencet 3x (duplicate data),batch : 11 of 48 row: 8,Admin,90%,"duplicate, kepencet, error"
kepencet 3x (duplicate data),batch : 11 of 48 row: 9,Admin,90%,"duplicate, kepencet, error"
Permintaan dari DM melalui DATE Support. (Alasan: Sudah request DL namun belum di remove),batch : 11 of 48 row: 10,Admin,85%,"DM request, belum di-remove, administratif"
date tutup,batch : 12 of 48 row: 1,alasan_DATE,95%,"date tutup, kelompok DATE, tidak aktif"
pindah ke date lain,batch : 12 of 48 row: 2,alasan_DATE,90%,"pindah date, kelompok DATE, transfer"
menggunakan akun yg lain,batch : 12 of 48 row: 3,Admin,85%,"akun lain, perubahan data, administratif"
member melanjutkan studi di luar negri,batch : 12 of 48 row: 4,lokasi,95%,"luar negeri, studi, relokasi"
dipanggil Tuhan,batch : 12 of 48 row: 5,others,90%,"dipanggil Tuhan, wafat, tidak jelas"
menghapus testing dari skybridge,batch : 12 of 48 row: 6,Admin,88%,"menghapus testing, perubahan data, administratif"
Permintaan Ybs karena sudah jarang dan tidak pernah ke JPCC lagi dan jarang DATE karena alasan pekerjaan,batch : 12 of 48 row: 7,waktu_tidak_sesuai,85%,"alasan pekerjaan, jarang hadir, benturan jadwal"
mau off date dlu sebelum pindah ke date couple,batch : 12 of 48 row: 8,alasan_DATE,92%,"pindah date, date couple, transfer kelompok"
sekolah dan pindah ke luar negeri,batch : 12 of 48 row: 9,lokasi,92%,"luar negeri, pindah, relokasi"
"pindah ke date lain, date cempaka putih 03",batch : 12 of 48 row: 10,alasan_DATE,93%,"pindah date, date cempaka putih, transfer kelompok"
pindah Date untuk pernikahan,batch : 13 of 48 row: 1,perbedaan_musim_kehidupan,95%,"pindah DATE, pernikahan"
pindah gereja yg dekat tempat tinggal,batch : 13 of 48 row: 2,lokasi,90%,"pindah gereja, tempat tinggal"
aplikasi error seharusnya visitor,batch : 13 of 48 row: 3,Admin,95%,"aplikasi error, visitor"
ingin pindah,batch : 13 of 48 row: 4,others,60%,"ingin pindah, tidak jelas"
Pindah tempat tinggal ke Luar Kota,batch : 13 of 48 row: 5,lokasi,95%,"pindah tempat tinggal, luar kota"
istri dari yanto (dater),batch : 13 of 48 row: 6,Admin,90%,"istri dater, data error"
salah accept ke date member. seharusnya kevin wangsa,batch : 13 of 48 row: 7,Admin,95%,"salah accept, human error"
Maaf teman2 date saya blm bisa ikut in onsite n online juga tdk setiap mgg saya mau undur dr date ini terima kasih semu teman2 yg selama ini sdh menerima saya ngikutin date ini Tuhan berkati,batch : 13 of 48 row: 8,alasan_DATE,85%,"undur dari DATE, tidak bisa ikut"
mau coba visit tempat lain,batch : 13 of 48 row: 9,tertanam_di_gereja_lain,75%,"visit tempat lain, coba"
Pindah dan menetap di kota Surabaya per 1 Juni 2024,batch : 13 of 48 row: 10,lokasi,98%,"pindah, Surabaya, relokasi"
salah data,batch : 14 of 48 row: 1,Admin,95%,"salah data, kesalahan administratif"
double data,batch : 14 of 48 row: 2,Admin,95%,"double data, duplikasi"
double,batch : 14 of 48 row: 3,Admin,95%,"double, duplikasi"
double data,batch : 14 of 48 row: 4,Admin,95%,"double data, duplikasi"
Ingin mencari Date lain yang lebih sesuai dengan musim kehidupannya.,batch : 14 of 48 row: 5,alasan_DATE,85%,"cari DATE lain, musim kehidupan"
request by date member,batch : 14 of 48 row: 6,alasan_DATE,90%,"request DATE member, keputusan DATE"
request by date member,batch : 14 of 48 row: 7,alasan_DATE,90%,"request DATE member, keputusan DATE"
pindah domisili,batch : 14 of 48 row: 8,lokasi,95%,"pindah domisili, relokasi"
"wrongly approved, visitor only",batch : 14 of 48 row: 9,Admin,90%,"wrongly approved, visitor only"
"Tiba2 ada di dalam list member, sebelumnya tidak pernah",batch : 14 of 48 row: 10,Admin,85%,"tiba-tiba, tidak pernah hadir"
kerja di luar negri,batch : 15 of 48 row: 1,lokasi,95%,"kerja, luar negeri"
"Hendrawan & istri sudah pindah ke DATE KELAPA GADING 61 namun DL menginformasikan disana sudah penuh, hanya bisa menerima istrinya saja masuk ke myjpcc. DLnya menyarankan utk remove saja dari KG43.",batch : 15 of 48 row: 2,alasan_DATE,90%,"pindah DATE, penuh, remove"
Tdk bs date lg krn pindah kerja ke Bali,batch : 15 of 48 row: 3,lokasi,95%,"pindah kerja, Bali"
Pindah domisili ke Batam karena penempatan dari perusahaan tempat bekerja. Telah didampingi proses transisi hingga tertanam di Gereja/komunitas yang baru di Batam,batch : 15 of 48 row: 4,lokasi,95%,"pindah domisili, Batam, tertanam gereja baru"
"pindah tempat tinggal, jadi sudah pindah DATE baru.",batch : 15 of 48 row: 5,alasan_DATE,85%,"pindah tempat tinggal, pindah DATE baru"
Permintaan dari DM,batch : 15 of 48 row: 6,Admin,75%,"permintaan DM, administratif"
meminjam uang kepada member dan menggunakan nama member lain sebagai jaminan untuk meminjam uang kepada teman lainnya,batch : 15 of 48 row: 7,others,85%,"pinjam uang, masalah finansial"
pindah gereja karena susah dapat tiket anak2.,batch : 15 of 48 row: 8,tertanam_di_gereja_lain,80%,"pindah gereja, tiket anak"
pindah gereja karena susah dapat tiket anak2.,batch : 15 of 48 row: 9,tertanam_di_gereja_lain,80%,"pindah gereja, tiket anak"
yang aktif hanya istrinya,batch : 15 of 48 row: 10,others,70%,"aktif istrinya, ambigu"
pindah ke kota lain,batch : 16 of 48 row: 1,lokasi,95%,"pindah, kota lain, relokasi"
"kehadiran di date kurang, namun pelayanan aktif",batch : 16 of 48 row: 2,Admin,85%,"kehadiran kurang, pelayanan aktif, tidak sesuai kriteria"
"kehadiran di date kurang, namun pelayanan aktif",batch : 16 of 48 row: 3,Admin,85%,"kehadiran kurang, pelayanan aktif, tidak sesuai kriteria"
tidak pernah hadir dan pindah ke gereja lain,batch : 16 of 48 row: 4,tertanam_di_gereja_lain,90%,"pindah gereja, tidak hadir, gereja lain"
tidak pernah hadir dan pindah ke gereja lain,batch : 16 of 48 row: 5,tertanam_di_gereja_lain,90%,"pindah gereja, tidak hadir, gereja lain"
duplicate data,batch : 16 of 48 row: 6,Admin,95%,"duplicate, data error, administratif"
saya sudah tidak menjadi DL lagi,batch : 16 of 48 row: 7,Admin,80%,"tidak DL, perubahan status, administratif"
saya sudah tidak menjadi DL lagi,batch : 16 of 48 row: 8,Admin,80%,"tidak DL, perubahan status, administratif"
saya sudah tidak menjadi DL lagi,batch : 16 of 48 row: 9,Admin,80%,"tidak DL, perubahan status, administratif"
saya sudah tidak menjadi DL lagi,batch : 16 of 48 row: 10,Admin,80%,"tidak DL, perubahan status, administratif"
Meninggal,batch : 17 of 48 row: 1,others,95%,"meninggal, wafat, deceased"
"jarak dengan date jauh, sdh bbrpa bulan off, diarahkan ke date lain dan ybs ok",batch : 17 of 48 row: 2,alasan_DATE,85%,"jarak DATE jauh, pindah DATE, off"
"bentrok waktu dengan pekerjaan, sdh diarahkan mencari date lain yg waktunya pas dan masih mencoba",batch : 17 of 48 row: 3,waktu_tidak_sesuai,90%,"bentrok waktu, pekerjaan, jadwal"
"Saya tidak sanggup untuk menjadi DL bagi saudari Septi atas permasalahan psikologisnya. sudah dicoba ditawarkan tetap menetap di DATE dengan pendampingan dari tim konselor JPCC, namun ditolak.",batch : 17 of 48 row: 4,alasan_DATE,80%,"DATE, masalah psikologis, ditolak"
saya sudah tidak menjadi DL lagi,batch : 17 of 48 row: 5,others,60%,"tidak DL, ambigu, tidak jelas"
saya sudah tidak menjadi DL lagi,batch : 17 of 48 row: 6,others,60%,"tidak DL, ambigu, tidak jelas"
saya sudah tidak menjadi DL lagi,batch : 17 of 48 row: 7,others,60%,"tidak DL, ambigu, tidak jelas"
saya sudah tidak menjadi DL lagi,batch : 17 of 48 row: 8,others,60%,"tidak DL, ambigu, tidak jelas"
saya sudah tidak menjadi DL lagi,batch : 17 of 48 row: 9,others,60%,"tidak DL, ambigu, tidak jelas"
Setelah menikah pindah ke luar kota mengikuti suami.,batch : 17 of 48 row: 10,perbedaan_musim_kehidupan,95%,"menikah, pindah luar kota, relokasi"
Double akun,batch : 18 of 48 row: 1,Admin,95%,"double akun, administrative error, account issue"
lagi stay di luar kota,batch : 18 of 48 row: 2,lokasi,90%,"stay luar kota, relocation, temporary"
"lagi berada di Luar negeri, sementara off dulu",batch : 18 of 48 row: 3,lokasi,95%,"luar negeri, off sementara, relocation"
ganti sccount,batch : 18 of 48 row: 4,Admin,90%,"ganti account, administrative, account change"
salah add family member,batch : 18 of 48 row: 5,Admin,95%,"salah add, family member, administrative error"
pindah keluar negeri tapi masih tetap di WAG.,batch : 18 of 48 row: 6,lokasi,85%,"pindah luar negeri, relocation, still in WAG"
Double Role,batch : 18 of 48 row: 7,Admin,90%,"double role, administrative, duplicate"
Double account,batch : 18 of 48 row: 8,Admin,95%,"double account, administrative error, duplicate"
beribadah di gereja lain,batch : 18 of 48 row: 9,tertanam_di_gereja_lain,95%,"beribadah gereja lain, church choice, embedded elsewhere"
sudah menikah dan pindah ke DATE Kelapa Gading 7,batch : 18 of 48 row: 10,perbedaan_musim_kehidupan,90%,"menikah, pindah DATE, life phase change"
sudah meninggal,batch : 19 of 48 row: 1,others,95%,"meninggal, wafat, deceased"
for good ke sydney,batch : 19 of 48 row: 2,lokasi,95%,"sydney, pindah, relokasi"
"perbedaan musim kehidupan, sudah tidak pernah hadir, slow respon, sudah mengatakan tidak bisa bergabung lagi didate sampai saat ini.",batch : 19 of 48 row: 3,perbedaan_musim_kehidupan,85%,"musim kehidupan, tidak hadir, tidak bisa bergabung"
akan pindah ke date married couple di tebet,batch : 19 of 48 row: 4,alasan_DATE,90%,"pindah DATE, married couple, tebet"
pindah ke Sumba (NTT),batch : 19 of 48 row: 5,lokasi,95%,"Sumba, NTT, pindah"
pindah ke australia,batch : 19 of 48 row: 6,lokasi,95%,"australia, pindah, luar negeri"
pindah ke australia,batch : 19 of 48 row: 7,lokasi,95%,"australia, pindah, luar negeri"
sudah pindah kerja ke surabaya kurang lebih setahun dan sudah ikut gereja disana.,batch : 19 of 48 row: 8,lokasi,90%,"surabaya, pindah kerja, gereja lain"
memutuskan untuk bertumbuh dgn caranya,batch : 19 of 48 row: 9,others,75%,"bertumbuh, caranya, ambigu"
double id or account,batch : 19 of 48 row: 10,Admin,90%,"double id, account, error administratif"
salah tekan,batch : 20 of 48 row: 1,Admin,95%,"salah tekan, kesalahan, administratif"
Sudah di rumah Bapa di Sorga,batch : 20 of 48 row: 2,others,90%,"wafat, sorga, meninggal"
sedang ada masalah pribadi dan blm bs diceritakan ke saya dan vina decide utk quit dr date,batch : 20 of 48 row: 3,alasan_DATE,85%,"masalah pribadi, quit, DATE"
Re-register,batch : 20 of 48 row: 4,Admin,95%,"re-register, administratif, data"
sudah kembali lagi ke agama lama krn faktor tidak ada pilihan lain yakni tuntutan keluarga yg memaksakan utk kembali ke agama lain.,batch : 20 of 48 row: 5,tertanam_di_gereja_lain,88%,"agama lain, tuntutan keluarga, kembali"
domisili di Pontianak,batch : 20 of 48 row: 6,lokasi,92%,"domisili, Pontianak, relokasi"
double user login,batch : 20 of 48 row: 7,Admin,95%,"double user, login, administratif"
salah orang,batch : 20 of 48 row: 8,Admin,95%,"salah orang, kesalahan, administratif"
"Pindah ke GMS, ikut calon suami kareba ada rencana menikah bln Feb 25",batch : 20 of 48 row: 9,perbedaan_musim_kehidupan,90%,"menikah, calon suami, pindah gereja"
mencari date khusus married couple,batch : 20 of 48 row: 10,others,85%,"married couple, pencarian khusus, ambigu"
pindah keluar kota,batch : 21 of 48 row: 1,lokasi,95%,"pindah, keluar kota"
mencari date yang lebih sesuai dengan jadwal,batch : 21 of 48 row: 2,alasan_DATE,85%,"date, jadwal, sesuai"
pindah ke kota Lampung,batch : 21 of 48 row: 3,lokasi,98%,"pindah, Lampung"
tekan accept 2x,batch : 21 of 48 row: 4,Admin,90%,"accept, error"
Komitmen kehadiran rendah. Sudah diingatkan namun tidak menunjukkan perubahan.,batch : 21 of 48 row: 5,tidak_ada_respon,80%,"komitmen rendah, tidak berubah"
double account,batch : 21 of 48 row: 6,Admin,95%,double account
rencana untuk pindah ke date baru yang lebih deket ke rumah mereka,batch : 21 of 48 row: 7,alasan_DATE,88%,"pindah date, dekat rumah"
pindah ke luar kota,batch : 21 of 48 row: 8,lokasi,98%,"pindah, luar kota"
double account,batch : 21 of 48 row: 9,Admin,95%,double account
double,batch : 21 of 48 row: 10,Admin,85%,double
salah klik masih probition,batch : 22 of 48 row: 1,Admin,95%,"salah klik, probation, error"
Izin keluar dari Date,batch : 22 of 48 row: 2,alasan_DATE,90%,"izin keluar, DATE, keluar"
Data double,batch : 22 of 48 row: 3,Admin,98%,"data double, duplikat, error"
mencari komunitas yg tepat,batch : 22 of 48 row: 4,others,75%,"komunitas, tepat, ambigu"
HP saya bermasalah harusnya masuk probation tiba2 ke klik 2 kali,batch : 22 of 48 row: 5,Admin,92%,"HP bermasalah, probation, error teknis"
menetap di Australia,batch : 22 of 48 row: 6,lokasi,98%,"Australia, menetap, relokasi"
salah data salah salah akun,batch : 22 of 48 row: 7,Admin,97%,"salah data, salah akun, error"
date akan ditutup,batch : 22 of 48 row: 8,alasan_DATE,95%,"DATE ditutup, kelompok tutup, DATE"
date akan ditutup,batch : 22 of 48 row: 9,alasan_DATE,95%,"DATE ditutup, kelompok tutup, DATE"
