delete_reason,batch,Final label,Confidence,Keywords
"sudah lebih dari 4 bulan Sem & Lena ga ikut date. dan secara personal susah dihubungi. sudah beberapa kali saya ajak ketemuan 1on1 tapi ga ada respon. whatsapp juga sering tidak dibalas dan klo dibalas pun butuh beberapa hari. Saat ini Lena juga sudah working full time di lampung, jadi sudah tidak di jakarta. Sebelumnya mereka bergumul perihal keuangan karena Sem sudah tidak bekerja. Kondisi terakhir Sem ada meminjam uang dari saya. Dan saya sudah berusaha untuk memberikan support sebaik kemampuan saya.",batch : 4 of 48 row: 10,tidak_ada_respon,90%,"tidak, respon, susah"
pindah ke pekanbaru,batch : 5 of 48 row: 1,lokasi,100%,"pindah, pekanbaru"
akan berpindah gereja di tempat calon suami nya dan rencana akan tertanam disana juga.,batch : 5 of 48 row: 2,tertanam_di_gereja_lain,100%,"berpindah, gereja, tertanam"
under probation,batch : 5 of 48 row: 3,Admin,100%,"probation, kesalahan"
Beliau sudah kembali ke rumah Bapa di sorga,batch : 5 of 48 row: 4,others,100%,"wafat, sorga"
sudah meninggal,batch : 5 of 48 row: 5,others,100%,meninggal
pindah negara,batch : 5 of 48 row: 6,lokasi,100%,"pindah, negara"
"Sistem otomatis menaikan status menjadi DM. Seharusnya tetap probation. Sudah membuat tiket resolve, dan diminta remove manual",batch : 5 of 48 row: 7,Admin,100%,"probation, kesalahan"
kembali ke surabaya,batch : 5 of 48 row: 8,lokasi,100%,"kembali, surabaya"
pindah ke Bali,batch : 5 of 48 row: 9,lokasi,100%,"pindah, bali"
member memutuskan untuk pindah gereja,batch : 5 of 48 row: 10,tertanam_di_gereja_lain,100%,"pindah, gereja"
Pindah ke Malaysia,batch : 6 of 48 row: 1,lokasi,100%,"pindah, Malaysia"
pindah ke Malaysia,batch : 6 of 48 row: 2,lokasi,100%,"pindah, Malaysia"
pindah date ke sudirman 17,batch : 6 of 48 row: 3,alasan_DATE,100%,"pindah, date"
pindah date,batch : 6 of 48 row: 4,alasan_DATE,100%,"pindah, date"
Pindah Gereja,batch : 6 of 48 row: 5,tertanam_di_gereja_lain,100%,"pindah, gereja"
"ingin join Date Married Couple, rencana join ke Date baru (Brenda Yohan) kemungkinan akhir tahun",batch : 6 of 48 row: 6,alasan_DATE,100%,"join, date"
"ingin join Date Married Couple, rencana join ke Date baru (Brenda & Yohan) mungkin akhir tahun",batch : 6 of 48 row: 7,alasan_DATE,100%,"join, date"
hans pindah ke date istri di gading serpong 33,batch : 6 of 48 row: 8,alasan_DATE,100%,"pindah, date"
Jarang Hadir & Melihat anggotanya banyak couple,batch : 6 of 48 row: 9,others,80%,"jarang, hadir"
melanjutkan S2 ke USA,batch : 6 of 48 row: 10,perbedaan_musim_kehidupan,100%,"melanjutkan, S2"
salah pencet harusnya probation dulu,batch : 7 of 48 row: 1,Admin,100%,"salah, pencet, probation"
belum tertanam di gereja,batch : 7 of 48 row: 2,others,80%,"belum, tertanam, gereja"
masih belum dapat rutin hadir DATE,batch : 7 of 48 row: 3,alasan_DATE,90%,"belum, rutin, DATE"
meninggal dunia,batch : 7 of 48 row: 4,others,100%,"meninggal, dunia"
"seperti ada kesalahan sistem di myjpcc, tiba2x masuk disistem setelah salah satu DM transfer dr date lama ke date sy",batch : 7 of 48 row: 5,Admin,100%,"kesalahan, sistem, myjpcc"
"Mau bertumbuh di DATE yg lain, karena perbedaan visi DATE dgn DM",batch : 7 of 48 row: 6,tertanam_di_gereja_lain,100%,"bertumbuh, DATE, lain"
tidak permah,batch : 7 of 48 row: 7,tidak_ada_respon,100%,"tidak, pernah"
menikah dan pindah keluar kota,batch : 7 of 48 row: 8,lokasi,100%,"menikah, pindah, kota"
"Sejak Februari tidak hadir di DATE, di WA tidak merespon & ditelefon tidak diangkat.",batch : 7 of 48 row: 9,tidak_ada_respon,100%,"tidak, merespon, diangkat"
Move to another Church,batch : 7 of 48 row: 10,tertanam_di_gereja_lain,100%,"Move, another, Church"
Move to another Church,batch : 8 of 48 row: 1,tertanam_di_gereja_lain,90%,"Church, Move, Another"
sudah tidak di jakarta,batch : 8 of 48 row: 2,lokasi,95%,"Jakarta, Tidak, Lokasi"
sudah tidak di jakarta,batch : 8 of 48 row: 3,lokasi,95%,"Jakarta, Tidak, Lokasi"
tidak ada date member tsb,batch : 8 of 48 row: 4,alasan_DATE,80%,"DATE, Tidak, Member"
salah pencet hrsnya accept probation,batch : 8 of 48 row: 5,Admin,95%,"Salah, Pencet, Probation"
Must probation,batch : 8 of 48 row: 6,Admin,90%,"Probation, Must, Admin"
diwakili oleh istri,batch : 8 of 48 row: 7,others,70%,"Istri, Diwakili, Wakil"
diwakili oleh suami,batch : 8 of 48 row: 8,others,70%,"Suami, Diwakili, Wakil"
diwakili oleh suami,batch : 8 of 48 row: 9,others,70%,"Suami, Diwakili, Wakil"
"salah masukin. harus nya orang tua, tapi di bikin spouse",batch : 8 of 48 row: 10,Admin,95%,"Salah, Masukin, Admin"
for good ke timika,batch : 9 of 48 row: 1,lokasi,100%,"timika, pindah, lokasi"
komit untuk stay di Date GS 30,batch : 9 of 48 row: 2,others,50%,"stay, date, gs"
"Minta keluar DATE krn lack of commitment & punya alasan, mulai WFO lg jd merasa kecapaian bgt kl DATE",batch : 9 of 48 row: 3,alasan_DATE,80%,"date, lack, commitment"
melanjutkan studi S2 ke negara lain,batch : 9 of 48 row: 4,lokasi,100%,"negara, lain, s2"
Desi menikah tanggal 18 Mei 2024 di Bandung & tinggal bersama suaminya di Bandung. Dia akan mencari komunitas di Gereja Lokal.,batch : 9 of 48 row: 5,perbedaan_musim_kehidupan,90%,"menikah, suami, bandung"
DM diluar kota dan jarang bisa mengikuti Date,batch : 9 of 48 row: 6,lokasi,100%,"diluar, kota, jarang"
Pindah ke komunitas gereja lainnya,batch : 9 of 48 row: 7,tertanam_di_gereja_lain,100%,"komunitas, gereja, lain"
pindah ke luar negeri,batch : 9 of 48 row: 8,lokasi,100%,"luar, negeri, pindah"
pindah ke luat negeri untuk melanjutkan pendidikan,batch : 9 of 48 row: 9,lokasi,100%,"luar, negeri, pendidikan"
sudah meninggal :'(,batch : 9 of 48 row: 10,others,100%,"meninggal, wafat, sudah"
Tidak pernah hadir (lebih dr 6 bulan) dan group perlu tambah member baru,batch : 10 of 48 row: 1,tidak_ada_respon,90%,"tidak, pernah, hadir"
S2 d luar negeri,batch : 10 of 48 row: 2,lokasi,100%,"S2, luar, negeri"
pindah Date baru,batch : 10 of 48 row: 3,alasan_DATE,100%,"pindah, Date, baru"
"Double Account, sudah dipastikan yang aktif adalah akun yang satunya (gmail). -Bintoro",batch : 10 of 48 row: 4,Admin,100%,"Double, Account, aktif"
Bergumul dengan diri sendiri dan ada suatu hal yg tidak bisa diceritakan,batch : 10 of 48 row: 5,others,80%,"bergumul, diri, sendiri"
Terkendala jarak dan waktu dalam beberapa waktu terakhir,batch : 10 of 48 row: 6,waktu_tidak_sesuai,90%,"jarak, waktu, terkendala"
Pindah kota (ke Bali),batch : 10 of 48 row: 7,lokasi,100%,"pindah, kota, Bali"
date akan berpindah,batch : 10 of 48 row: 8,alasan_DATE,100%,"date, berpindah"
Felicia telah menemukan gereja lain yang lebih cocok dengan hatinya dan memilih untuk bergereja di sana. Felicia permisi dengan baik baik dengan teman-teman saat DATE.,batch : 10 of 48 row: 9,tertanam_di_gereja_lain,100%,"gereja, lain, cocok"
"dm minta sendiri, krn ga mungkin bersama lagi dengan suaminya (proses pengadilan perceraian)",batch : 10 of 48 row: 10,perbedaan_musim_kehidupan,100%,"perceraian, suaminya"
Pindah ke Australia,batch : 11 of 48 row: 1,lokasi,100%,"pindah, Australia"
pindah ke australia,batch : 11 of 48 row: 2,lokasi,100%,"pindah, australia"
mau cari date married couple krn sudah menikah,batch : 11 of 48 row: 3,perbedaan_musim_kehidupan,100%,"menikah, date"
pindah keluar negeri,batch : 11 of 48 row: 4,lokasi,100%,"pindah, negeri"
Sesuai dengan keputusan sendiri,batch : 11 of 48 row: 5,others,50%,"keputusan, sendiri"
Pindah keluar kota.,batch : 11 of 48 row: 6,lokasi,100%,"pindah, kota"
Sudah pindah ke USA,batch : 11 of 48 row: 7,lokasi,100%,"pindah, USA"
kepencet 3x (duplicate data),batch : 11 of 48 row: 8,Admin,100%,"duplicate, data"
kepencet 3x (duplicate data),batch : 11 of 48 row: 9,Admin,100%,"duplicate, data"
Permintaan dari DM melalui DATE Support. (Alasan: Sudah request DL namun belum di remove),batch : 11 of 48 row: 10,Admin,100%,"remove, request"
date tutup,batch : 12 of 48 row: 1,alasan_DATE,90%,"date, tutup"
pindah ke date lain,batch : 12 of 48 row: 2,alasan_DATE,95%,"pindah, date"
menggunakan akun yg lain,batch : 12 of 48 row: 3,others,80%,"akun, lain"
member melanjutkan studi di luar negri,batch : 12 of 48 row: 4,perbedaan_musim_kehidupan,95%,"studi, luar"
dipanggil Tuhan,batch : 12 of 48 row: 5,others,100%,"dipanggil, Tuhan"
menghapus testing dari skybridge,batch : 12 of 48 row: 6,Admin,90%,"menghapus, testing"
Permintaan Ybs karena sudah jarang dan tidak pernah ke JPCC lagi dan jarang DATE karena alasan pekerjaan,batch : 12 of 48 row: 7,waktu_tidak_sesuai,90%,"jarang, pekerjaan"
mau off date dlu sebelum pindah ke date couple,batch : 12 of 48 row: 8,alasan_DATE,95%,"off, date"
sekolah dan pindah ke luar negeri,batch : 12 of 48 row: 9,lokasi,95%,"pindah, luar"
"pindah ke date lain, date cempaka putih 03",batch : 12 of 48 row: 10,alasan_DATE,95%,"pindah, date"
pindah Date untuk pernikahan,batch : 13 of 48 row: 1,perbedaan_musim_kehidupan,90%,"pernikahan, pindah"
pindah gereja yg dekat tempat tinggal,batch : 13 of 48 row: 2,lokasi,95%,"pindah, gereja"
aplikasi error seharusnya visitor,batch : 13 of 48 row: 3,Admin,100%,"aplikasi, error"
ingin pindah,batch : 13 of 48 row: 4,others,50%,"pindah, ingin"
Pindah tempat tinggal ke Luar Kota,batch : 13 of 48 row: 5,lokasi,100%,"pindah, Luar Kota"
istri dari yanto (dater),batch : 13 of 48 row: 6,others,40%,"istri, dater"
salah accept ke date member. seharusnya kevin wangsa,batch : 13 of 48 row: 7,Admin,100%,"salah, accept"
Maaf teman2 date saya blm bisa ikut in onsite n online juga tdk setiap mgg saya mau undur dr date ini terima kasih semu teman2 yg selama ini sdh menerima saya ngikutin date ini Tuhan berkati,batch : 13 of 48 row: 8,alasan_DATE,90%,"date, undur"
mau coba visit tempat lain,batch : 13 of 48 row: 9,others,60%,"visit, tempat"
Pindah dan menetap di kota Surabaya per 1 Juni 2024,batch : 13 of 48 row: 10,lokasi,100%,"pindah, Surabaya"
salah data,batch : 14 of 48 row: 1,Admin,100%,"salah, data, error"
double data,batch : 14 of 48 row: 2,Admin,100%,"double, data, error"
double,batch : 14 of 48 row: 3,Admin,100%,"double, error, data"
double data,batch : 14 of 48 row: 4,Admin,100%,"double, data, error"
Ingin mencari Date lain yang lebih sesuai dengan musim kehidupannya.,batch : 14 of 48 row: 5,perbedaan_musim_kehidupan,100%,"musim, kehidupan, Date"
request by date member,batch : 14 of 48 row: 6,alasan_DATE,100%,"Date, member, request"
request by date member,batch : 14 of 48 row: 7,alasan_DATE,100%,"Date, member, request"
pindah domisili,batch : 14 of 48 row: 8,lokasi,100%,"pindah, domisili, lokasi"
"wrongly approved, visitor only",batch : 14 of 48 row: 9,Admin,100%,"wrongly, approved, visitor"
"Tiba2 ada di dalam list member, sebelumnya tidak pernah",batch : 14 of 48 row: 10,Admin,100%,"wrongly, added, member"
kerja di luar negri,batch : 15 of 48 row: 1,lokasi,100%,"kerja, luar, negeri"
"Hendrawan & istri sudah pindah ke DATE KELAPA GADING 61 namun DL menginformasikan disana sudah penuh, hanya bisa menerima istrinya saja masuk ke myjpcc. DLnya menyarankan utk remove saja dari KG43.",batch : 15 of 48 row: 2,alasan_DATE,100%,"DATE, penuh, remove"
Tdk bs date lg krn pindah kerja ke Bali,batch : 15 of 48 row: 3,lokasi,100%,"pindah, kerja, Bali"
Pindah domisili ke Batam karena penempatan dari perusahaan tempat bekerja. Telah didampingi proses transisi hingga tertanam di Gereja/komunitas yang baru di Batam,batch : 15 of 48 row: 4,lokasi,100%,"pindah, domisili, Batam"
"pindah tempat tinggal, jadi sudah pindah DATE baru.",batch : 15 of 48 row: 5,lokasi,100%,"pindah, tempat, tinggal"
Permintaan dari DM,batch : 15 of 48 row: 6,Admin,100%,"permintaan, DM"
meminjam uang kepada member dan menggunakan nama member lain sebagai jaminan untuk meminjam uang kepada teman lainnya,batch : 15 of 48 row: 7,others,100%,"meminjam, uang, jaminan"
pindah gereja karena susah dapat tiket anak2.,batch : 15 of 48 row: 8,tertanam_di_gereja_lain,100%,"pindah, gereja, tiket"
pindah gereja karena susah dapat tiket anak2.,batch : 15 of 48 row: 9,tertanam_di_gereja_lain,100%,"pindah, gereja, tiket"
yang aktif hanya istrinya,batch : 15 of 48 row: 10,tidak_ada_respon,100%,"aktif, istrinya, tidak"
pindah ke kota lain,batch : 16 of 48 row: 1,lokasi,100%,"pindah, kota, lain"
"kehadiran di date kurang, namun pelayanan aktif",batch : 16 of 48 row: 2,alasan_DATE,100%,"date, kehadiran, kurang"
"kehadiran di date kurang, namun pelayanan aktif",batch : 16 of 48 row: 3,alasan_DATE,100%,"date, kehadiran, kurang"
tidak pernah hadir dan pindah ke gereja lain,batch : 16 of 48 row: 4,tertanam_di_gereja_lain,100%,"pindah, gereja, lain"
tidak pernah hadir dan pindah ke gereja lain,batch : 16 of 48 row: 5,tertanam_di_gereja_lain,100%,"pindah, gereja, lain"
duplicate data,batch : 16 of 48 row: 6,Admin,100%,"duplicate, data"
saya sudah tidak menjadi DL lagi,batch : 16 of 48 row: 7,alasan_DATE,100%,"tidak, dl, lagi"
saya sudah tidak menjadi DL lagi,batch : 16 of 48 row: 8,alasan_DATE,100%,"tidak, dl, lagi"
saya sudah tidak menjadi DL lagi,batch : 16 of 48 row: 9,alasan_DATE,100%,"tidak, dl, lagi"
saya sudah tidak menjadi DL lagi,batch : 16 of 48 row: 10,alasan_DATE,100%,"tidak, dl, lagi"
Meninggal,batch : 17 of 48 row: 1,others,100%,"Meninggal, wafat, tidak"
"jarak dengan date jauh, sdh bbrpa bulan off, diarahkan ke date lain dan ybs ok",batch : 17 of 48 row: 2,alasan_DATE,90%,"jarak, date, off"
"bentrok waktu dengan pekerjaan, sdh diarahkan mencari date lain yg waktunya pas dan masih mencoba",batch : 17 of 48 row: 3,waktu_tidak_sesuai,100%,"bentrok, waktu, pekerjaan"
"Saya tidak sanggup untuk menjadi DL bagi saudari Septi atas permasalahan psikologisnya. sudah dicoba ditawarkan tetap menetap di DATE dengan pendampingan dari tim konselor JPCC, namun ditolak.",batch : 17 of 48 row: 4,alasan_DATE,80%,"DL, psikologis, date"
saya sudah tidak menjadi DL lagi,batch : 17 of 48 row: 5,others,50%,"tidak, DL, lagi"
saya sudah tidak menjadi DL lagi,batch : 17 of 48 row: 6,others,50%,"tidak, DL, lagi"
saya sudah tidak menjadi DL lagi,batch : 17 of 48 row: 7,others,50%,"tidak, DL, lagi"
saya sudah tidak menjadi DL lagi,batch : 17 of 48 row: 8,others,50%,"tidak, DL, lagi"
saya sudah tidak menjadi DL lagi,batch : 17 of 48 row: 9,others,50%,"tidak, DL, lagi"
Setelah menikah pindah ke luar kota mengikuti suami.,batch : 17 of 48 row: 10,lokasi,100%,"menikah, pindah, luar kota"
Double akun,batch : 18 of 48 row: 1,Admin,90%,"Double, akun"
lagi stay di luar kota,batch : 18 of 48 row: 2,lokasi,95%,"luar, kota"
"lagi berada di Luar negeri, sementara off dulu",batch : 18 of 48 row: 3,lokasi,95%,"Luar, negeri"
ganti sccount,batch : 18 of 48 row: 4,Admin,90%,"ganti, account"
salah add family member,batch : 18 of 48 row: 5,Admin,90%,"salah, add"
pindah keluar negeri tapi masih tetap di WAG.,batch : 18 of 48 row: 6,lokasi,95%,"pindah, negeri"
Double Role,batch : 18 of 48 row: 7,Admin,90%,"Double, Role"
Double account,batch : 18 of 48 row: 8,Admin,90%,"Double, account"
beribadah di gereja lain,batch : 18 of 48 row: 9,tertanam_di_gereja_lain,95%,"gereja, lain"
sudah menikah dan pindah ke DATE Kelapa Gading 7,batch : 18 of 48 row: 10,perbedaan_musim_kehidupan,95%,"menikah, pindah"
sudah meninggal,batch : 19 of 48 row: 1,others,100%,"meninggal, wafat, tidak"
for good ke sydney,batch : 19 of 48 row: 2,lokasi,100%,"sydney, pindah, lokasi"
"perbedaan musim kehidupan, sudah tidak pernah hadir, slow respon, sudah mengatakan tidak bisa bergabung lagi didate sampai saat ini.",batch : 19 of 48 row: 3,perbedaan_musim_kehidupan,100%,"musim, kehidupan, perbedaan"
akan pindah ke date married couple di tebet,batch : 19 of 48 row: 4,alasan_DATE,100%,"date, pindah, married"
pindah ke Sumba (NTT),batch : 19 of 48 row: 5,lokasi,100%,"sumba, pindah, ntt"
pindah ke australia,batch : 19 of 48 row: 6,lokasi,100%,"australia, pindah, lokasi"
pindah ke australia,batch : 19 of 48 row: 7,lokasi,100%,"australia, pindah, lokasi"
sudah pindah kerja ke surabaya kurang lebih setahun dan sudah ikut gereja disana.,batch : 19 of 48 row: 8,lokasi,100%,"surabaya, pindah, lokasi"
memutuskan untuk bertumbuh dgn caranya,batch : 19 of 48 row: 9,others,100%,"bertumbuh, caranya, memutuskan"
double id or account,batch : 19 of 48 row: 10,Admin,100%,"double, id, account"
salah tekan,batch : 20 of 48 row: 1,Admin,90%,"salah, tekan"
Sudah di rumah Bapa di Sorga,batch : 20 of 48 row: 2,others,100%,"Sorga, Bapa"
sedang ada masalah pribadi dan blm bs diceritakan ke saya dan vina decide utk quit dr date,batch : 20 of 48 row: 3,alasan_DATE,80%,"masalah, quit"
Re-register,batch : 20 of 48 row: 4,Admin,95%,Re-register
sudah kembali lagi ke agama lama krn faktor tidak ada pilihan lain yakni tuntutan keluarga yg memaksakan utk kembali ke agama lain.,batch : 20 of 48 row: 5,others,85%,"agama, keluarga"
domisili di Pontianak,batch : 20 of 48 row: 6,lokasi,95%,"domisili, Pontianak"
double user login,batch : 20 of 48 row: 7,Admin,90%,"double, login"
salah orang,batch : 20 of 48 row: 8,Admin,90%,"salah, orang"
"Pindah ke GMS, ikut calon suami kareba ada rencana menikah bln Feb 25",batch : 20 of 48 row: 9,perbedaan_musim_kehidupan,85%,"menikah, GMS"
mencari date khusus married couple,batch : 20 of 48 row: 10,alasan_DATE,80%,"date, married"
pindah keluar kota,batch : 21 of 48 row: 1,lokasi,100%,"pindah, keluar, kota"
mencari date yang lebih sesuai dengan jadwal,batch : 21 of 48 row: 2,alasan_DATE,100%,"date, jadwal, sesuai"
pindah ke kota Lampung,batch : 21 of 48 row: 3,lokasi,100%,"pindah, kota, Lampung"
tekan accept 2x,batch : 21 of 48 row: 4,Admin,100%,"tekan, accept, 2x"
Komitmen kehadiran rendah. Sudah diingatkan namun tidak menunjukkan perubahan.,batch : 21 of 48 row: 5,tidak_ada_respon,100%,"komitmen, rendah, peringatan"
double account,batch : 21 of 48 row: 6,Admin,100%,"double, account"
rencana untuk pindah ke date baru yang lebih deket ke rumah mereka,batch : 21 of 48 row: 7,lokasi,100%,"pindah, date, baru"
pindah ke luar kota,batch : 21 of 48 row: 8,lokasi,100%,"pindah, luar, kota"
double account,batch : 21 of 48 row: 9,Admin,100%,"double, account"
double,batch : 21 of 48 row: 10,others,100%,double
salah klik masih probition,batch : 22 of 48 row: 1,Admin,90%,"salah, klik, probition"
Izin keluar dari Date,batch : 22 of 48 row: 2,alasan_DATE,80%,"izin, keluar, date"
Data double,batch : 22 of 48 row: 3,Admin,95%,"data, double"
mencari komunitas yg tepat,batch : 22 of 48 row: 4,others,70%,"mencari, komunitas, tepat"
HP saya bermasalah harusnya masuk probation tiba2 ke klik 2 kali,batch : 22 of 48 row: 5,Admin,85%,"salah, data, klik"
menetap di Australia,batch : 22 of 48 row: 6,lokasi,95%,"menetap, australia"
salah data salah salah akun,batch : 22 of 48 row: 7,Admin,90%,"salah, data, akun"
date akan ditutup,batch : 22 of 48 row: 8,alasan_DATE,95%,"date, ditutup"
date akan ditutup,batch : 22 of 48 row: 9,alasan_DATE,95%,"date, ditutup"
date akan ditutup,batch : 22 of 48 row: 10,alasan_DATE,95%,"date, ditutup"
date akan ditutup,batch : 23 of 48 row: 1,alasan_DATE,100%,"date, ditutup"
date akan ditutup,batch : 23 of 48 row: 2,alasan_DATE,100%,"date, ditutup"
date akan ditutup,batch : 23 of 48 row: 3,alasan_DATE,100%,"date, ditutup"
pindah ke date lain karena waktunya lebih sesuai dan sudah mendaftar dgn email lain,batch : 23 of 48 row: 4,alasan_DATE,100%,"date, lain"
CT/DM pindah ke negara lain (US) sejak Maret 2024. Thankyou,batch : 23 of 48 row: 5,lokasi,100%,"pindah, negara"
Pindah negara,batch : 23 of 48 row: 6,lokasi,100%,"pindah, negara"
double data,batch : 23 of 48 row: 7,Admin,100%,"double, data"
Suwanto udah berpulang ke rumah Bapa,batch : 23 of 48 row: 8,others,100%,"wafat, berpulang"
CT sudah naik jadi DL,batch : 23 of 48 row: 9,perbedaan_musim_kehidupan,100%,"naik, jabatan"
DL sudah ada,batch : 23 of 48 row: 10,others,100%,"sudah, ada"
date leader dalam proses pengunduran diri,batch : 24 of 48 row: 1,alasan_DATE,90%,"date, leader, pengunduran"
date leader dalam proses pengunduran diri,batch : 24 of 48 row: 2,alasan_DATE,90%,"date, leader, pengunduran"
ada 2 akun jadi 1 akun di remove,batch : 24 of 48 row: 3,Admin,80%,"akun, remove"
harus masuk probation dulu,batch : 24 of 48 row: 4,Admin,80%,probation
Meninggal dunia,batch : 24 of 48 row: 5,others,100%,meninggal
memilih ikut pelayanan di gereja lama bersama istri,batch : 24 of 48 row: 6,tertanam_di_gereja_lain,90%,"gereja, lama, istri"
Pindahaa ke Date lain,batch : 24 of 48 row: 7,alasan_DATE,90%,"date, lain"
perpindahan date member untuk proses pengunduran diri DATE Leader,batch : 24 of 48 row: 8,alasan_DATE,90%,"date, leader, pengunduran"
pindah ke date couple namun tdk bs transfer krn date tujuan tdk ditemukan di app,batch : 24 of 48 row: 9,alasan_DATE,90%,"date, couple, transfer"
pindah ke date couple namun tdkb bs transfer krn date tujuan tdk ditemukan di app,batch : 24 of 48 row: 10,alasan_DATE,90%,"date, couple, transfer"
"mau pindah ke date lain karena masalah tempat tinggal , mencari yg lebih dekat",batch : 25 of 48 row: 1,alasan_DATE,90%,"pindah, date, tempat"
Fokus karir dahulu dan pindah rumah ke JGC Jakarta Timur,batch : 25 of 48 row: 2,perbedaan_musim_kehidupan,80%,"fokus, karir, pindah"
