delete_reason,batch,Final label,Confidence,Keywords
DM daftar ulang dengan email yg berbeda (karena ada masalah teknis).,batch : 4 of 48 row: 3,Admin,95%,"daftar ulang, email berbeda, teknis"
She has been inactive on date for more than one year.,batch : 4 of 48 row: 4,tidak_ada_respon,90%,"inactive, more than one year, DATE"
She has been inactive on Date for more than a year,batch : 4 of 48 row: 5,tidak_ada_respon,90%,"inactive, more than a year, Date"
"sudah lama sekali tidak pernah joint DATE, alasannya selalu sibuk.",batch : 4 of 48 row: 6,waktu_tidak_sesuai,96%,"sibuk, tidak pernah joint, DATE"
"Temporary exit while studying abroad, will rejoin after graduation.",batch : 4 of 48 row: 7,lokasi,88%,"studying abroad, rejoin, temporary exit"
"Time conflict, DM no longer can join weekly meetings.",batch : 4 of 48 row: 8,waktu_tidak_sesuai,97%,"time conflict, weekly meetings, join"
"Time conflict, DM no longer able to join weekly meetings",batch : 4 of 48 row: 9,waktu_tidak_sesuai,97%,"time conflict, weekly meetings, able"
"DATE venue is already changed to Semanan, far from previous location in Rasuna. Prefer to find other DATE.",batch : 4 of 48 row: 10,lokasi,86%,"venue changed, Semanan, Rasuna"
"DATE venue is already changed to Semanan, far from previous location in Rasuna. Prefer to find other DATE.",batch : 5 of 48 row: 1,alasan_DATE,96%,"DATE, Semanan, other DATE"
"DATE venue is already changed to Semanan, far from previous location in Rasuna. Prefer to find other DATE.",batch : 5 of 48 row: 2,alasan_DATE,96%,"DATE, Semanan, other DATE"
"DATE venue is already changed to Semanan, far from previous location in Rasuna. Prefer to find other DATE.",batch : 5 of 48 row: 3,alasan_DATE,96%,"DATE, Semanan, other DATE"
juat get married and would like to change to DATE married couples,batch : 5 of 48 row: 4,perbedaan_musim_kehidupan,98%,"married, couples, change"
DM memutuskan secara pribadi untuk keluar dari Date.,batch : 5 of 48 row: 5,alasan_DATE,93%,"Date, memutuskan, keluar"
Ybs berada diluar daerah dan permintaan ini tidak melalui jalur approval,batch : 5 of 48 row: 6,lokasi,97%,"diluar daerah, approval, permintaan"
Got married and move to Jogja for good. Move church as well,batch : 5 of 48 row: 7,lokasi,99%,"got married, move to Jogja, move church"
Got married and move to Jogja for good. Move church as well,batch : 5 of 48 row: 8,lokasi,99%,"got married, move to Jogja, move church"
"Waktu pekerjaan, sehingga sulit hadir ke Date",batch : 5 of 48 row: 9,waktu_tidak_sesuai,98%,"Waktu pekerjaan, sulit hadir, Date"
Member doesnt show up regularly,batch : 5 of 48 row: 10,tidak_ada_respon,95%,"doesnt show up, regularly, member"
"Tidak pernah ikut date, AnSeungHee autojoin di date ini karna statusnya menikah dengan Hanna",batch : 6 of 48 row: 1,perbedaan_musim_kehidupan,92%,"menikah, autojoin, status"
Tidak pernah hadir date karena kegiatan,batch : 6 of 48 row: 2,alasan_DATE,78%,"tidak hadir, date, kegiatan"
Tidak pernah hadir date karena kegiatan,batch : 6 of 48 row: 3,alasan_DATE,78%,"tidak hadir, date, kegiatan"
Jarang hadir di date karena bentrok dengan aktifitas sehati hari,batch : 6 of 48 row: 4,waktu_tidak_sesuai,90%,"bentrok, aktifitas, hari"
Salah Pencet seharusnya msh probation. Conf to IT (Salomo),batch : 6 of 48 row: 5,Admin,97%,"salah pencet, probation, IT"
Tidak bisa bekerja sama dgn DL d Memebru pengaruh yg negatif dalam komunitas,batch : 6 of 48 row: 6,alasan_DATE,88%,"DL, negatif, komunitas"
Lagi sibuk kerjaan keluar kota melulu,batch : 6 of 48 row: 7,lokasi,86%,"kerja, keluar kota, sibuk"
Tidak pernah hadir dalam date lagi,batch : 6 of 48 row: 8,alasan_DATE,84%,"tidak hadir, date, lagi"
sudah lebih dari 6 bulan tidak bisa di contact,batch : 6 of 48 row: 9,tidak_ada_respon,96%,"6 bulan, tidak bisa, contact"
Sudah tidak pernah hadir dalam date,batch : 6 of 48 row: 10,alasan_DATE,82%,"tidak pernah, hadir, date"
she is not come to date again..,batch : 7 of 48 row: 1,alasan_DATE,96%,"not come, date again, date"
Tidak pernah ikut Date dan setelah ditawarkan untuk pindah jadwal date memilih untuk tidak date dahulu,batch : 7 of 48 row: 2,alasan_DATE,94%,"tidak pernah ikut, pindah jadwal, tidak date"
Sepakat dengan pasangan untuk pindah gereja lokal dgn alasan kepentingan keluarga.,batch : 7 of 48 row: 3,tertanam_di_gereja_lain,92%,"pindah gereja, keluarga, gereja lokal"
Dater hasnt been coming and no intention on coming.,batch : 7 of 48 row: 4,tidak_ada_respon,90%,"hasnt been coming, no intention, coming"
"Live far from Jakarta (Solo), too busy for Date",batch : 7 of 48 row: 5,lokasi,98%,"far from Jakarta, Solo, busy"
"Domisili d Bandung. Selama pandemi, krn online msh bs ikut ibadah JPCC dan Date online. Sekarang sdh bs offline, jd kmd sdh dpt gereja dan komunitas d sana.",batch : 7 of 48 row: 6,lokasi,97%,"Domisili Bandung, offline, gereja dan komunitas"
Date member berada di kota lain (palembang),batch : 7 of 48 row: 7,lokasi,98%,"kota lain, Palembang, Date member"
Date member sudab balik ke kota asal (jambi),batch : 7 of 48 row: 8,lokasi,98%,"balik, kota asal, Jambi"
selama 2 tahun Deni tidak bisa hadi di Date baik online. Dan ybs menjelaskan bahwa kesibukan kerja yg sampai jam 9 malam membuat tidak bisa hadir di Date.,batch : 7 of 48 row: 9,waktu_tidak_sesuai,96%,"kerja, jam 9 malam, tidak bisa hadir"
"Belum perna join Date, infonya mau join yg digereja lama",batch : 7 of 48 row: 10,tertanam_di_gereja_lain,90%,"join, gereja lama, belum perna"
Tidak pernah datang date setahun terakhir,batch : 8 of 48 row: 1,tidak_ada_respon,86%,"tidak pernah datang, setahun, date"
ellisa mau menikah dan memutuskan belajar ajaran katolik,batch : 8 of 48 row: 2,perbedaan_musim_kehidupan,95%,"menikah, belajar katolik, keputusan"
Karena ika ingin menata hati dalam berkomitken join date,batch : 8 of 48 row: 3,others,72%,"menata hati, berkomitmen, join date"
Date member yang bersangkutan pindah ke australia sehingga tidak dapat lagi ikut date.,batch : 8 of 48 row: 4,lokasi,97%,"pindah, australia, date"
sudah lama tidak hadir di DATE,batch : 8 of 48 row: 5,tidak_ada_respon,90%,"tidak hadir, sudah lama, DATE"
sudah lama tidak hadir di DATE,batch : 8 of 48 row: 6,tidak_ada_respon,90%,"tidak hadir, sudah lama, DATE"
Frans udah satu tahun tidak date dan udah pindah ke greja GMS,batch : 8 of 48 row: 7,tertanam_di_gereja_lain,96%,"pindah gereja, GMS, tidak date"
Lg gak bisa date lagi karna ada urusan pribadi,batch : 8 of 48 row: 8,others,88%,"urusan pribadi, gak bisa, date"
Sejak pandemi date berangsur2 vakum dan sekarang ada banyak perubahan yang sedang dilakukan untuk mulai date lagi.,batch : 8 of 48 row: 9,alasan_DATE,84%,"vakum, pandemi, perubahan"
Sejak pandemi date berangsur2 vakum dan sekarang ada banyak perubahan yang sedang dilakukan untuk mulai date lagi.,batch : 8 of 48 row: 10,alasan_DATE,84%,"vakum, pandemi, perubahan"
Selama pandemi dikarenakan sudah pindah ke gunung sindur mereka coba datang ke gereja lain karena mereka butuh gereja yg onsite dan mau cari komunitas yg setiap minggu bisa tatap muka,batch : 9 of 48 row: 1,lokasi,96%,"pindah, gunung sindur, gereja lain"
Pindah tugas keluar kota dan belum bisa ikut date sampai waktu yang blm bisa di pastikan.,batch : 9 of 48 row: 2,lokasi,98%,"pindah tugas, keluar kota, date"
Sudah tidak aktif di date 1tahun terakhir,batch : 9 of 48 row: 3,tidak_ada_respon,88%,"tidak aktif, 1 tahun, date"
Sudah tidak aktif di Date untuk 1-2 tahun ini,batch : 9 of 48 row: 4,tidak_ada_respon,88%,"tidak aktif, 1-2 tahun, Date"
DM memutuskan pindah dan tertanam di gereja lain,batch : 9 of 48 row: 5,tertanam_di_gereja_lain,97%,"pindah, tertanam, gereja lain"
hari kamis ga bisa kalo mau join lagi berkabar,batch : 9 of 48 row: 6,waktu_tidak_sesuai,95%,"hari kamis, ga bisa, join"
hari kamis ga bisa nanti kalo mau join lagi berkabar,batch : 9 of 48 row: 7,waktu_tidak_sesuai,95%,"hari kamis, ga bisa, join"
Sudah diinvite belum bisa datang / salah pencet tombol jadi keaccept,batch : 9 of 48 row: 8,Admin,93%,"invite, salah pencet, accept"
Cannot find time anymore to join Date,batch : 9 of 48 row: 9,waktu_tidak_sesuai,92%,"cannot find time, join date, time"
mau pindah date ke Date Pantai Indah Kapuk 9,batch : 9 of 48 row: 10,alasan_DATE,96%,"pindah date, PIK 9, Date"
sekarang kerja di luar kota.....,batch : 10 of 48 row: 1,lokasi,98%,"luar kota, kerja, pindah"
lagi sibuk... ga sempet date...,batch : 10 of 48 row: 2,waktu_tidak_sesuai,92%,"sibuk, ga sempet, date"
Tidak bisa ikut DATE Lagi karena fokus mengurus ibu.,batch : 10 of 48 row: 3,perbedaan_musim_kehidupan,88%,"fokus, mengurus ibu, keluarga"
"dm salah akun yg diregister, mau regis pakai akun lain",batch : 10 of 48 row: 4,Admin,97%,"salah akun, register, akun lain"
Bug recovery married to single,batch : 10 of 48 row: 5,Admin,86%,"bug, recovery, married"
Bug recovery married to single,batch : 10 of 48 row: 6,Admin,86%,"bug, recovery, married"
sudah setahun tidak date. kami rencana membersihkan data2 date member supaya bisa menerima member2 baru.,batch : 10 of 48 row: 7,Admin,95%,"tidak date, bersihkan data, member baru"
sudah setahun tidak date. kami rencana membersihkan data2 date member supaya bisa menerima member2 baru.,batch : 10 of 48 row: 8,Admin,95%,"tidak date, bersihkan data, member baru"
sudah setahun tidak date. kami rencana membersihkan data2 date member supaya bisa menerima member2 baru.,batch : 10 of 48 row: 9,Admin,95%,"tidak date, bersihkan data, member baru"
Ingin mencari Date yang lebih dekat dengan tempat tinggal.,batch : 10 of 48 row: 10,lokasi,93%,"lebih dekat, tempat tinggal, Date"
"Sedang fokus dengan koas dan persiapan S2, jadi sudah tidak pernah datang ke DATE lagi.",batch : 11 of 48 row: 1,perbedaan_musim_kehidupan,96%,"koas, S2, fokus"
she wants to go back to her previous church,batch : 11 of 48 row: 2,tertanam_di_gereja_lain,95%,"previous church, go back, church"
Working holiday visa in aussie,batch : 11 of 48 row: 3,lokasi,93%,"working holiday, aussie, visa"
Tidak hadir lebih dari 3 bulan krn kerja di Karawang. Tidak bisa komitmen lagi di date.,batch : 11 of 48 row: 4,waktu_tidak_sesuai,97%,"kerja, Karawang, komitmen"
Not active anymore. We reach on whatsapp but no response,batch : 11 of 48 row: 5,tidak_ada_respon,98%,"whatsapp, no response, not active"
"Not active anymore. We reach levana n partner but no respon. She told us that she n partner wants to join DATE member couple. But when we confirm again, there's no response.",batch : 11 of 48 row: 6,tidak_ada_respon,97%,"no respon, no response, confirm"
mulai mengembangkan pelayanan sendiri diluar JPCC,batch : 11 of 48 row: 7,tertanam_di_gereja_lain,94%,"pelayanan, diluar JPCC, sendiri"
mulai mengembangkan pelayanan sendiri diluar JPCC,batch : 11 of 48 row: 8,tertanam_di_gereja_lain,94%,"pelayanan, diluar JPCC, sendiri"
mulai mengembangkan pelayanan sendiri diluar JPCC,batch : 11 of 48 row: 9,tertanam_di_gereja_lain,94%,"pelayanan, diluar JPCC, sendiri"
kesulitan dengan komitmen untuk hadir dalam DATE,batch : 11 of 48 row: 10,waktu_tidak_sesuai,90%,"komitmen, hadir, DATE"
Pindah date karena pindah tempat tinggal,batch : 12 of 48 row: 1,alasan_DATE,98%,"pindah date, tempat tinggal"
sudah tidak ikut date lebih dari 1 tahun,batch : 12 of 48 row: 2,tidak_ada_respon,86%,"tidak ikut, 1 tahun"
"mau cari date lain yg 1 season, sudah konfirmasi ke ybs",batch : 12 of 48 row: 3,alasan_DATE,95%,"cari date lain, 1 season"
"Work & study in another country, move to hillsongs church",batch : 12 of 48 row: 4,lokasi,97%,"another country, move"
Saya tidak mengenal date member,batch : 12 of 48 row: 5,others,88%,"tidak mengenal, member"
Lennie has decided to focus her work and ministry in Surabaya. She will also start to be planted in a local Church there.,batch : 12 of 48 row: 6,lokasi,96%,"Surabaya, local church"
dm pindah ke luar negeri saat ini untuk bekerja,batch : 12 of 48 row: 7,lokasi,98%,"luar negeri, bekerja"
DM menikah dan pindah kota ke solo,batch : 12 of 48 row: 8,lokasi,97%,"menikah, pindah kota"
date member menginfokan akan cuti dari date sementara waktu,batch : 12 of 48 row: 9,alasan_DATE,93%,"cuti, sementara"
Move to other church community,batch : 12 of 48 row: 10,tertanam_di_gereja_lain,96%,"other church, community"
Sudah tidak relevan dgn Date skr. Mau coba date married couple.,batch : 13 of 48 row: 1,alasan_DATE,96%,"tidak relevan, married couple, date"
Sdh tidak relevan dgn date skr. Mau coba mencari married couple group.,batch : 13 of 48 row: 2,alasan_DATE,96%,"tidak relevan, married couple, date"
Mau lihat opsi Date married couple,batch : 13 of 48 row: 3,alasan_DATE,94%,"opsi date, married couple, date"
Mau non aktif date dulu dan nanti apabila sudah ready akan join date lain yang dekat dengan tempat tinggal saat ini (Bekasi),batch : 13 of 48 row: 4,lokasi,95%,"Bekasi, dekat rumah, join date"
Sudah pindah ke kota lain (Papua),batch : 13 of 48 row: 5,lokasi,99%,"pindah kota, Papua, pindah"
Sudah lama tidak aktif dan tidak ada kabar,batch : 13 of 48 row: 6,tidak_ada_respon,97%,"tidak aktif, tidak ada kabar, lama"
Sudah pindah ke kota lain (Palembang),batch : 13 of 48 row: 7,lokasi,99%,"pindah kota, Palembang, pindah"
Sudah lama tidak aktif dan tidak merespon wa,batch : 13 of 48 row: 8,tidak_ada_respon,98%,"tidak aktif, tidak merespon, wa"
Sudah tidak aktif dan sudah diberitahukan,batch : 13 of 48 row: 9,tidak_ada_respon,90%,"tidak aktif, diberitahukan, respon"
date member mau cari date di hari rabu,batch : 13 of 48 row: 10,waktu_tidak_sesuai,88%,"hari rabu, cari date, jadwal"
"Sudah tidak ada kabar sejak september 2022. Ditelpon diriject. Dichat tidak dibalas. Sudah tanya TL tempat Claudya melayani, ternyata sedang difreeze pelayanannya.",batch : 14 of 48 row: 1,tidak_ada_respon,97%,"tidak ada kabar, ditelpon reject, tidak dibalas"
Tidak hadir DATE dalam 3 bulan,batch : 14 of 48 row: 2,alasan_DATE,95%,"tidak hadir, DATE, 3 bulan"
Tidak hadir DATE dalam 3 bulan,batch : 14 of 48 row: 3,alasan_DATE,95%,"tidak hadir, DATE, 3 bulan"
Sudah lama tidak aktif di DATE. Sudah pamit mundur.,batch : 14 of 48 row: 4,alasan_DATE,92%,"pamit mundur, DATE, tidak aktif"
"He decided to be planted in a different church, GBI Alam Sutera, due to family reasons",batch : 14 of 48 row: 5,tertanam_di_gereja_lain,96%,"different church, planted, GBI"
Pindah pekerjaan keluar jakarta,batch : 14 of 48 row: 6,lokasi,98%,"pindah kerja, keluar jakarta, relokasi"
"Komitmen, ketidakcocokan ybs dengan date MK1",batch : 14 of 48 row: 7,alasan_DATE,93%,"ketidakcocokan, DATE, komitmen"
study abroad and find a local church,batch : 14 of 48 row: 8,perbedaan_musim_kehidupan,90%,"study abroad, local church, fase hidup"
Pindah ke Bangkok untuk pekerjaan,batch : 14 of 48 row: 9,lokasi,98%,"pindah Bangkok, pekerjaan, relokasi"
date member sudah berpindah tempat tinggal dan ingin mencari yg dekat dgn tempat tinggal nya,batch : 14 of 48 row: 10,lokasi,96%,"pindah tempat tinggal, dekat rumah, lokasi"
Sdh lama tidak hadir dipertemuan Date dan sdh di konfirmaikan bahwa tidak iikut date lagi dikarenakan kesibukan,batch : 15 of 48 row: 1,waktu_tidak_sesuai,92%,"kesibukan, tidak hadir, DATE"
Tidak datang ke DATE dan ke gereja,batch : 15 of 48 row: 2,tidak_ada_respon,78%,"tidak datang, DATE, gereja"
DM pindah rumah ke Gunung Sindur. kerjanya di Jakarta full wfo.tdk bisa ikutan DATE lg krn ga bisa atur jadwal.,batch : 15 of 48 row: 3,lokasi,97%,"pindah rumah, Gunung Sindur, Jakarta"
"Karena belom tertarik untuk berkomunitas lagi , dan ingin menyesuaikan kehidupan pribadi dulu sementara.",batch : 15 of 48 row: 4,perbedaan_musim_kehidupan,84%,"berkomunitas, kehidupan pribadi, menyesuaikan"
"Tidak aktif, sudah diconfirm ok bukan sebagai anggota date lagi",batch : 15 of 48 row: 5,Admin,88%,"tidak aktif, diconfirm, bukan anggota"
Pindah Gereja setelah menikah.,batch : 15 of 48 row: 6,perbedaan_musim_kehidupan,96%,"menikah, pindah gereja, setelah"
Pindah Gereja setelah menikah,batch : 15 of 48 row: 7,perbedaan_musim_kehidupan,96%,"menikah, pindah gereja, setelah"
"kesulitan karena berbeda kota, ada baiknya Lievia berada di gereja yang ada di lampung.",batch : 15 of 48 row: 8,lokasi,98%,"beda kota, Lampung, gereja"
hanya istrinya yang aktif.....,batch : 15 of 48 row: 9,others,72%,"istri, aktif, saja"
Masih mencari date baru yang dekat lokasi tempat tinggalnya,batch : 15 of 48 row: 10,lokasi,95%,"date baru, dekat lokasi, tempat tinggal"
Sudah tidak datang lebih dari 3 bulan,batch : 16 of 48 row: 1,tidak_ada_respon,88%,"tidak datang, 3 bulan, vakum"
Sudah lebih dari 3 bulan ijin untuk vakum dari date dan hari ini baru mau mulai cari date baru,batch : 16 of 48 row: 2,alasan_DATE,95%,"vakum, date, cari date baru"
Tidak hadir didate lebih dr 3 bulan,batch : 16 of 48 row: 3,tidak_ada_respon,90%,"tidak hadir, 3 bulan, date"
"Tidak pernah hadir, hanya daftar untuk dpt seat",batch : 16 of 48 row: 4,tidak_ada_respon,93%,"tidak pernah hadir, daftar, seat"
"Sdh jarang hadir sejak 2 thn belakangan ini, skrg katanya mau pindah DATE dgn alasan pindah rumah",batch : 16 of 48 row: 5,lokasi,96%,"pindah rumah, pindah DATE, dekat"
"Pindah DATE, alasan lebih dekat dengan pacar",batch : 16 of 48 row: 6,lokasi,94%,"pindah DATE, pacar, lebih dekat"
"Dtg hanya 1x, seterusnya tdk pernah hadir. Sdh di japri, tp alasan selalu sibuk dan nanti dikabarin.",batch : 16 of 48 row: 7,tidak_ada_respon,92%,"tidak hadir, sibuk, japri"
plan to move to another date,batch : 16 of 48 row: 8,alasan_DATE,97%,"move, another date, date"
plan to move to another date,batch : 16 of 48 row: 9,alasan_DATE,97%,"move, another date, date"
member memilih untuk pindah date lain untuk sementara off dulu selama 3 bulan.,batch : 16 of 48 row: 10,alasan_DATE,91%,"pindah date, off, 3 bulan"
never join Date meeting online and offline for past 6 months,batch : 17 of 48 row: 1,tidak_ada_respon,96%,"never join, 6 months, online/offline"
"setelah menikah, ikut suami dan tinggal di Wonosobo",batch : 17 of 48 row: 2,perbedaan_musim_kehidupan,98%,"menikah, ikut suami, Wonosobo"
sudah tidak ada di date lagi dan sudah w.a berada di surabaya,batch : 17 of 48 row: 3,lokasi,90%,"surabaya, w.a, date"
non-active for almost 1yr & he request to be removed from Date due to busy schedule (work &sfudies at the same time).,batch : 17 of 48 row: 4,waktu_tidak_sesuai,97%,"busy schedule, work, studies"
Yang bersangkutan memutuskan untuk tertanam di gereja lokal lain,batch : 17 of 48 row: 5,tertanam_di_gereja_lain,99%,"gereja lokal lain, tertanam, memutuskan"
Yang bersangkutan memutuskan untuk tertanam di gereja lokal lain,batch : 17 of 48 row: 6,tertanam_di_gereja_lain,99%,"gereja lokal lain, tertanam, memutuskan"
"Sudah lebih dari setahun tidak ada kabar dan keikutsertaan William di dalam DATE, sejak terakhir ia ijin utk vakum sejenak ketika istrinya mulai hamil anak k-3 mereka . Setelah bbrp saat,  dihubungi bbrp kali tidak merespon, ketika diberi ucaoan selamat ulang tahun, jg  ucapan selamat ketika istrinya melahirkan tidak ada response sama sekali. William tiba-tiba 'leave' WAG DATE tanpa memberi kabar atau konfirmasi sama sekali. Setiap private message melalui WhatsApp ataupun sosmed tidak 
pernah dibalas, pdhal menurut bbrp teman DM status sosmednya selalu aktif.",batch : 17 of 48 row: 7,tidak_ada_respon,99%,"tidak merespon, setahun, leave"
"Hanny dan William suaminya, tidak ada kabar selama lebih dari setahun. Ketika dihubungi tidak merespon sama sekali, pdhal merespon kpd teman2 lain di luar DATE (melalui sosmed), tp tidak merespon sama sekali kpd teman2 DATE",batch : 17 of 48 row: 8,tidak_ada_respon,98%,"tidak ada kabar, tidak merespon, sosmed"
sudah ada marvin sebagai dl baru,batch : 17 of 48 row: 9,Admin,88%,"dl baru, marvin, sudah ada"
Lama tidak aktif dan juga tidak pernah ke gereja lagi,batch : 17 of 48 row: 10,tidak_ada_respon,92%,"lama tidak aktif, tidak pernah, gereja lagi"
"Sudah tidak ada kabar, DL sudah menghubungi beberapa kali dan tidak ada respon.",batch : 18 of 48 row: 1,tidak_ada_respon,98%,"tidak ada kabar, tidak respon, dihubungi"
Pindah sekeluarga ke Canada tahun lalu,batch : 18 of 48 row: 2,lokasi,99%,"pindah, sekeluarga, Canada"
Pindah sekeluarga ke Canada tahun lalu.,batch : 18 of 48 row: 3,lokasi,99%,"pindah, sekeluarga, Canada"
tidak memberi kabar soal kelanjutan di date,batch : 18 of 48 row: 4,alasan_DATE,86%,"kelanjutan date, tidak memberi kabar, date"
Member sudah pindah domisili ke surabaya,batch : 18 of 48 row: 5,lokasi,98%,"pindah domisili, Surabaya, domisili"
Rio sekarang ditempatkan di luar kota Jakarta dan karena kesibukan kerja sudah sekitar 5 bulan tidak pernah join pertemuan date online lagi,batch : 18 of 48 row: 6,waktu_tidak_sesuai,95%,"kesibukan kerja, luar kota, tidak join"
Yola has now a WFA. She is now mostly of time at Yogyakarta with her mom.,batch : 18 of 48 row: 7,lokasi,90%,"WFA, Yogyakarta, mom"
date member sudah tidak bs hadir dalam pertemuan date karna harus menemani anak tidur di waktu date,batch : 18 of 48 row: 8,waktu_tidak_sesuai,97%,"menemani anak tidur, waktu date, tidak hadir"
pindah keluar kota dan sudah tertanam di gereja lokal di kota nya,batch : 18 of 48 row: 9,lokasi,99%,"pindah keluar kota, gereja lokal, tertananam"
"move to different city, and decided to stop going date. will continue if move back to jakarta",batch : 18 of 48 row: 10,lokasi,98%,"move to different city, stop going date, Jakarta"
Study abroad (Australia) tidak dapat mengikuti Date dikarenakan lokasi dan perbedaan waktu,batch : 19 of 48 row: 1,lokasi,98%,"study abroad, Australia, lokasi"
uda ga bisa aktif untuk saat ini. 3 bln ga hadir.,batch : 19 of 48 row: 2,tidak_ada_respon,92%,"ga hadir, tidak aktif, 3 bln"
Resign dari DATE dan tdk beribadah di JPCC,batch : 19 of 48 row: 3,tertanam_di_gereja_lain,96%,"resign, gereja lain, JPCC"
