delete_reason,batch,Final label,Confidence,Keywords
Frans udah satu tahun tidak date dan udah pindah ke greja GMS,batch : 8 of 48 row: 7,tertanam_di_gereja_lain,85%,"pindah gereja GMS, tidak date"
Lg gak bisa date lagi karna ada urusan pribadi,batch : 8 of 48 row: 8,others,65%,"urusan pribadi, tidak spesifik"
Sejak pandemi date berangsur2 vakum dan sekarang ada banyak perubahan yang sedang dilakukan untuk mulai date lagi.,batch : 8 of 48 row: 9,Admin,70%,"pandemi vakum, perubahan dilakukan"
Sejak pandemi date berangsur2 vakum dan sekarang ada banyak perubahan yang sedang dilakukan untuk mulai date lagi.,batch : 8 of 48 row: 10,Admin,70%,"pandemi vakum, perubahan dilakukan"
Selama pandemi dikarenakan sudah pindah ke gunung sindur mereka coba datang ke gereja lain karena mereka butuh gereja yg onsite dan mau cari komunitas yg setiap minggu bisa tatap muka,batch : 9 of 48 row: 1,lokasi,95%,"pindah ke gunung sindur, relokasi, gereja lain"
Pindah tugas keluar kota dan belum bisa ikut date sampai waktu yang blm bisa di pastikan.,batch : 9 of 48 row: 2,lokasi,90%,"pindah tugas keluar kota, relokasi, belum bisa ikut"
Sudah tidak aktif di date 1tahun terakhir,batch : 9 of 48 row: 3,alasan_DATE,85%,"tidak aktif di date, 1 tahun, DATE"
Sudah tidak aktif di Date untuk 1-2 tahun ini,batch : 9 of 48 row: 4,alasan_DATE,85%,"tidak aktif di Date, 1-2 tahun, DATE"
DM memutuskan pindah dan tertanam di gereja lain,batch : 9 of 48 row: 5,tertanam_di_gereja_lain,95%,"tertanam di gereja lain, pindah, memutuskan"
hari kamis ga bisa kalo mau join lagi berkabar,batch : 9 of 48 row: 6,waktu_tidak_sesuai,90%,"hari kamis ga bisa, jadwal, join"
hari kamis ga bisa nanti kalo mau join lagi berkabar,batch : 9 of 48 row: 7,waktu_tidak_sesuai,90%,"hari kamis ga bisa, jadwal, join"
Sudah diinvite belum bisa datang / salah pencet tombol jadi keaccept,batch : 9 of 48 row: 8,Admin,85%,"salah pencet tombol, keaccept, human error"
Cannot find time anymore to join Date,batch : 9 of 48 row: 9,waktu_tidak_sesuai,88%,"tidak ada waktu, jadwal, join"
mau pindah date ke Date Pantai Indah Kapuk 9,batch : 9 of 48 row: 10,alasan_DATE,90%,"pindah date, DATE lain, transfer"
sekarang kerja di luar kota.....,batch : 10 of 48 row: 1,lokasi,95%,"kerja, luar kota, relokasi"
lagi sibuk... ga sempet date...,batch : 10 of 48 row: 2,waktu_tidak_sesuai,85%,"sibuk, tidak sempat, jadwal"
Tidak bisa ikut DATE Lagi karena fokus mengurus ibu.,batch : 10 of 48 row: 3,perbedaan_musim_kehidupan,90%,"fokus, mengurus ibu, prioritas"
"dm salah akun yg diregister, mau regis pakai akun lain",batch : 10 of 48 row: 4,Admin,92%,"salah akun, registrasi, error administratif"
Bug recovery married to single,batch : 10 of 48 row: 5,Admin,88%,"bug recovery, data error, sistem"
Bug recovery married to single,batch : 10 of 48 row: 6,Admin,88%,"bug recovery, data error, sistem"
sudah setahun tidak date. kami rencana membersihkan data2 date member supaya bisa menerima member2 baru.,batch : 10 of 48 row: 7,Admin,85%,"pembersihan data, tidak aktif, maintenance"
sudah setahun tidak date. kami rencana membersihkan data2 date member supaya bisa menerima member2 baru.,batch : 10 of 48 row: 8,Admin,85%,"pembersihan data, tidak aktif, maintenance"
sudah setahun tidak date. kami rencana membersihkan data2 date member supaya bisa menerima member2 baru.,batch : 10 of 48 row: 9,Admin,85%,"pembersihan data, tidak aktif, maintenance"
Ingin mencari Date yang lebih dekat dengan tempat tinggal.,batch : 10 of 48 row: 10,alasan_DATE,80%,"date lebih dekat, lokasi date, preferensi"
"Sedang fokus dengan koas dan persiapan S2, jadi sudah tidak pernah datang ke DATE lagi.",batch : 11 of 48 row: 1,perbedaan_musim_kehidupan,95%,"koas, S2, fokus"
she wants to go back to her previous church,batch : 11 of 48 row: 2,tertanam_di_gereja_lain,90%,"previous church, go back"
Working holiday visa in aussie,batch : 11 of 48 row: 3,lokasi,85%,"working holiday, aussie"
Tidak hadir lebih dari 3 bulan krn kerja di Karawang. Tidak bisa komitmen lagi di date.,batch : 11 of 48 row: 4,waktu_tidak_sesuai,90%,"kerja Karawang, tidak bisa komitmen"
Not active anymore. We reach on whatsapp but no response,batch : 11 of 48 row: 5,tidak_ada_respon,95%,"no response, reach whatsapp"
"Not active anymore. We reach levana n partner but no respon. She told us that she n partner wants to join DATE member couple. But when we confirm again, there's no response.",batch : 11 of 48 row: 6,tidak_ada_respon,90%,"no respon, tidak ada respons"
mulai mengembangkan pelayanan sendiri diluar JPCC,batch : 11 of 48 row: 7,tertanam_di_gereja_lain,85%,"pelayanan sendiri, diluar JPCC"
mulai mengembangkan pelayanan sendiri diluar JPCC,batch : 11 of 48 row: 8,tertanam_di_gereja_lain,85%,"pelayanan sendiri, diluar JPCC"
mulai mengembangkan pelayanan sendiri diluar JPCC,batch : 11 of 48 row: 9,tertanam_di_gereja_lain,85%,"pelayanan sendiri, diluar JPCC"
kesulitan dengan komitmen untuk hadir dalam DATE,batch : 11 of 48 row: 10,alasan_DATE,80%,"komitmen, DATE, kesulitan"
Pindah date karena pindah tempat tinggal,batch : 12 of 48 row: 1,alasan_DATE,85%,"pindah date, tempat tinggal, DATE change"
sudah tidak ikut date lebih dari 1 tahun,batch : 12 of 48 row: 2,tidak_ada_respon,80%,"tidak ikut, 1 tahun, missing"
"mau cari date lain yg 1 season, sudah konfirmasi ke ybs",batch : 12 of 48 row: 3,alasan_DATE,90%,"cari date lain, season, pindah DATE"
"Work & study in another country, move to hillsongs church",batch : 12 of 48 row: 4,lokasi,95%,"another country, move, relokasi"
Saya tidak mengenal date member,batch : 12 of 48 row: 5,alasan_DATE,75%,"tidak mengenal, date member, tidak cocok"
Lennie has decided to focus her work and ministry in Surabaya. She will also start to be planted in a local Church there.,batch : 12 of 48 row: 6,perbedaan_musim_kehidupan,85%,"focus ministry, Surabaya, planted church"
dm pindah ke luar negeri saat ini untuk bekerja,batch : 12 of 48 row: 7,lokasi,95%,"luar negeri, bekerja, relokasi"
DM menikah dan pindah kota ke solo,batch : 12 of 48 row: 8,perbedaan_musim_kehidupan,90%,"menikah, pindah kota, life phase"
date member menginfokan akan cuti dari date sementara waktu,batch : 12 of 48 row: 9,alasan_DATE,70%,"cuti sementara, date member, temporary"
Move to other church community,batch : 12 of 48 row: 10,tertanam_di_gereja_lain,85%,"other church, community, pindah gereja"
Sudah tidak relevan dgn Date skr. Mau coba date married couple.,batch : 13 of 48 row: 1,alasan_DATE,95%,"tidak relevan DATE, married couple, ganti DATE"
Sdh tidak relevan dgn date skr. Mau coba mencari married couple group.,batch : 13 of 48 row: 2,alasan_DATE,95%,"tidak relevan DATE, married couple, ganti DATE"
Mau lihat opsi Date married couple,batch : 13 of 48 row: 3,alasan_DATE,90%,"opsi DATE, married couple, cari DATE"
Mau non aktif date dulu dan nanti apabila sudah ready akan join date lain yang dekat dengan tempat tinggal saat ini (Bekasi),batch : 13 of 48 row: 4,lokasi,85%,"pindah, Bekasi, relokasi"
Sudah pindah ke kota lain (Papua),batch : 13 of 48 row: 5,lokasi,98%,"pindah kota, Papua, relokasi"
Sudah lama tidak aktif dan tidak ada kabar,batch : 13 of 48 row: 6,tidak_ada_respon,92%,"lama tidak aktif, tidak ada kabar, MIA"
Sudah pindah ke kota lain (Palembang),batch : 13 of 48 row: 7,lokasi,98%,"pindah kota, Palembang, relokasi"
Sudah lama tidak aktif dan tidak merespon wa,batch : 13 of 48 row: 8,tidak_ada_respon,95%,"tidak aktif, tidak merespon, MIA"
Sudah tidak aktif dan sudah diberitahukan,batch : 13 of 48 row: 9,Admin,85%,"tidak aktif, diberitahukan, administrative"
date member mau cari date di hari rabu,batch : 13 of 48 row: 10,waktu_tidak_sesuai,80%,"hari rabu, jadwal, benturan waktu"
"Sudah tidak ada kabar sejak september 2022. Ditelpon diriject. Dichat tidak dibalas. Sudah tanya TL tempat Claudya melayani, ternyata sedang difreeze pelayanannya.",batch : 14 of 48 row: 1,tidak_ada_respon,95%,"no contact, rejected calls, no reply"
Tidak hadir DATE dalam 3 bulan,batch : 14 of 48 row: 2,alasan_DATE,85%,"absent DATE, 3 months"
Tidak hadir DATE dalam 3 bulan,batch : 14 of 48 row: 3,alasan_DATE,85%,"absent DATE, 3 months"
Sudah lama tidak aktif di DATE. Sudah pamit mundur.,batch : 14 of 48 row: 4,alasan_DATE,90%,"inactive DATE, resigned"
"He decided to be planted in a different church, GBI Alam Sutera, due to family reasons",batch : 14 of 48 row: 5,tertanam_di_gereja_lain,95%,"different church, planted, GBI"
Pindah pekerjaan keluar jakarta,batch : 14 of 48 row: 6,lokasi,95%,"job transfer, out of Jakarta"
"Komitmen, ketidakcocokan ybs dengan date MK1",batch : 14 of 48 row: 7,alasan_DATE,90%,"incompatibility, DATE MK1"
study abroad and find a local church,batch : 14 of 48 row: 8,lokasi,90%,"study abroad, local church"
Pindah ke Bangkok untuk pekerjaan,batch : 14 of 48 row: 9,lokasi,95%,"relocated, Bangkok, work"
date member sudah berpindah tempat tinggal dan ingin mencari yg dekat dgn tempat tinggal nya,batch : 14 of 48 row: 10,lokasi,85%,"moved residence, closer location"
Sdh lama tidak hadir dipertemuan Date dan sdh di konfirmaikan bahwa tidak iikut date lagi dikarenakan kesibukan,batch : 15 of 48 row: 1,waktu_tidak_sesuai,85%,"kesibukan, tidak hadir, jadwal"
Tidak datang ke DATE dan ke gereja,batch : 15 of 48 row: 2,tidak_ada_respon,75%,"tidak datang, tidak aktif"
DM pindah rumah ke Gunung Sindur. kerjanya di Jakarta full wfo.tdk bisa ikutan DATE lg krn ga bisa atur jadwal.,batch : 15 of 48 row: 3,lokasi,90%,"pindah rumah, atur jadwal, lokasi"
"Karena belom tertarik untuk berkomunitas lagi , dan ingin menyesuaikan kehidupan pribadi dulu sementara.",batch : 15 of 48 row: 4,perbedaan_musim_kehidupan,80%,"menyesuaikan kehidupan pribadi, fase baru"
"Tidak aktif, sudah diconfirm ok bukan sebagai anggota date lagi",batch : 15 of 48 row: 5,alasan_DATE,85%,"bukan anggota date, tidak aktif"
Pindah Gereja setelah menikah.,batch : 15 of 48 row: 6,perbedaan_musim_kehidupan,90%,"menikah, pindah gereja"
Pindah Gereja setelah menikah,batch : 15 of 48 row: 7,perbedaan_musim_kehidupan,90%,"menikah, pindah gereja"
"kesulitan karena berbeda kota, ada baiknya Lievia berada di gereja yang ada di lampung.",batch : 15 of 48 row: 8,lokasi,88%,"beda kota, lokasi, relokasi"
hanya istrinya yang aktif.....,batch : 15 of 48 row: 9,others,70%,"istri aktif, ambigu"
Masih mencari date baru yang dekat lokasi tempat tinggalnya,batch : 15 of 48 row: 10,alasan_DATE,80%,"date baru, lokasi date"
Sudah tidak datang lebih dari 3 bulan,batch : 16 of 48 row: 1,tidak_ada_respon,75%,"tidak datang, 3 bulan, MIA"
Sudah lebih dari 3 bulan ijin untuk vakum dari date dan hari ini baru mau mulai cari date baru,batch : 16 of 48 row: 2,alasan_DATE,85%,"vakum, cari date baru, pindah DATE"
Tidak hadir didate lebih dr 3 bulan,batch : 16 of 48 row: 3,tidak_ada_respon,80%,"tidak hadir, 3 bulan, MIA"
"Tidak pernah hadir, hanya daftar untuk dpt seat",batch : 16 of 48 row: 4,tidak_ada_respon,90%,"tidak pernah hadir, hanya daftar, MIA"
"Sdh jarang hadir sejak 2 thn belakangan ini, skrg katanya mau pindah DATE dgn alasan pindah rumah",batch : 16 of 48 row: 5,alasan_DATE,85%,"pindah DATE, pindah rumah, jarang hadir"
"Pindah DATE, alasan lebih dekat dengan pacar",batch : 16 of 48 row: 6,alasan_DATE,90%,"pindah DATE, pacar, relokasi DATE"
"Dtg hanya 1x, seterusnya tdk pernah hadir. Sdh di japri, tp alasan selalu sibuk dan nanti dikabarin.",batch : 16 of 48 row: 7,waktu_tidak_sesuai,75%,"sibuk, jarang hadir, komitmen"
plan to move to another date,batch : 16 of 48 row: 8,alasan_DATE,85%,"pindah date, relokasi DATE, plan"
plan to move to another date,batch : 16 of 48 row: 9,alasan_DATE,85%,"pindah date, relokasi DATE, plan"
member memilih untuk pindah date lain untuk sementara off dulu selama 3 bulan.,batch : 16 of 48 row: 10,alasan_DATE,80%,"pindah date, off sementara, 3 bulan"
never join Date meeting online and offline for past 6 months,batch : 17 of 48 row: 1,alasan_DATE,85%,"DATE meeting, 6 months, tidak join"
"setelah menikah, ikut suami dan tinggal di Wonosobo",batch : 17 of 48 row: 2,perbedaan_musim_kehidupan,95%,"menikah, suami, Wonosobo"
sudah tidak ada di date lagi dan sudah w.a berada di surabaya,batch : 17 of 48 row: 3,lokasi,90%,"Surabaya, pindah, tidak ada"
non-active for almost 1yr & he request to be removed from Date due to busy schedule (work &sfudies at the same time).,batch : 17 of 48 row: 4,waktu_tidak_sesuai,88%,"busy schedule, work, studies"
Yang bersangkutan memutuskan untuk tertanam di gereja lokal lain,batch : 17 of 48 row: 5,tertanam_di_gereja_lain,98%,"tertanam, gereja lokal lain"
Yang bersangkutan memutuskan untuk tertanam di gereja lokal lain,batch : 17 of 48 row: 6,tertanam_di_gereja_lain,98%,"tertanam, gereja lokal lain"
"Sudah lebih dari setahun tidak ada kabar dan keikutsertaan William di dalam DATE, sejak terakhir ia ijin utk vakum sejenak ketika istrinya mulai hamil anak k-3 mereka . Setelah bbrp saat,  dihubungi bbrp kali tidak merespon, ketika diberi ucaoan selamat ulang tahun, jg  ucapan selamat ketika istrinya melahirkan tidak ada response sama sekali. William tiba-tiba 'leave' WAG DATE tanpa memberi kabar atau konfirmasi sama sekali. Setiap private message melalui WhatsApp ataupun sosmed tidak 
pernah dibalas, pdhal menurut bbrp teman DM status sosmednya selalu aktif.",batch : 17 of 48 row: 7,tidak_ada_respon,92%,"tidak merespon, leave WAG, tidak ada kabar"
"Hanny dan William suaminya, tidak ada kabar selama lebih dari setahun. Ketika dihubungi tidak merespon sama sekali, pdhal merespon kpd teman2 lain di luar DATE (melalui sosmed), tp tidak merespon sama sekali kpd teman2 DATE",batch : 17 of 48 row: 8,tidak_ada_respon,90%,"tidak merespon, tidak ada kabar, setahun"
sudah ada marvin sebagai dl baru,batch : 17 of 48 row: 9,Admin,85%,"DL baru, leadership change"
Lama tidak aktif dan juga tidak pernah ke gereja lagi,batch : 17 of 48 row: 10,tidak_ada_respon,80%,"tidak aktif, tidak ke gereja, lama"
"Sudah tidak ada kabar, DL sudah menghubungi beberapa kali dan tidak ada respon.",batch : 18 of 48 row: 1,tidak_ada_respon,95%,"tidak ada respon, tidak balas, tidak ada kabar"
Pindah sekeluarga ke Canada tahun lalu,batch : 18 of 48 row: 2,lokasi,98%,"pindah sekeluarga, Canada, relokasi"
Pindah sekeluarga ke Canada tahun lalu.,batch : 18 of 48 row: 3,lokasi,98%,"pindah sekeluarga, Canada, relokasi"
tidak memberi kabar soal kelanjutan di date,batch : 18 of 48 row: 4,alasan_DATE,85%,"tidak memberi kabar, kelanjutan date, DATE"
Member sudah pindah domisili ke surabaya,batch : 18 of 48 row: 5,lokasi,95%,"pindah domisili, Surabaya, relokasi"
Rio sekarang ditempatkan di luar kota Jakarta dan karena kesibukan kerja sudah sekitar 5 bulan tidak pernah join pertemuan date online lagi,batch : 18 of 48 row: 6,lokasi,90%,"ditempatkan luar kota, Jakarta, relokasi"
Yola has now a WFA. She is now mostly of time at Yogyakarta with her mom.,batch : 18 of 48 row: 7,lokasi,88%,"Yogyakarta, pindah, relokasi"
date member sudah tidak bs hadir dalam pertemuan date karna harus menemani anak tidur di waktu date,batch : 18 of 48 row: 8,waktu_tidak_sesuai,92%,"jadwal bentrok, menemani anak, waktu date"
pindah keluar kota dan sudah tertanam di gereja lokal di kota nya,batch : 18 of 48 row: 9,tertanam_di_gereja_lain,92%,"tertanam gereja lokal, pindah kota, gereja lain"
"move to different city, and decided to stop going date. will continue if move back to jakarta",batch : 18 of 48 row: 10,lokasi,90%,"move different city, relokasi, conditional return"
