delete_reason,Human Annotation 
Etly memerlukan waktu sementara untuk menata ulang schedulenya agar kedepan bisa ikut DATE lagi,waktu_tidak_sesuai
CT naik jadi DL,alasan_date
DL jadi DF,alasan_date
menetap dan bekerja di Ambon,lokasi
saat ini menetap dan bekerja di Ambon.,lokasi
pindah date,alasan_date
Pindah ke Melbourne,lokasi
Pindah ke Melbourne,lokasi
pindah kota,lokasi
terdaftar di date lain - Tugu Tani 2,alasan_date
work & study overseas,lokasi
"mau cari date couple tapi nanti setelah pindah rumah, selama ini sudah tidak hadir di date",lokasi
ditugaskan ke medan,lokasi
study leave,lokasi
Mencari DATE Married,alasan_date
pindah ke luar kota,lokasi
pindah ke luar kota,lokasi
Mau cari DATE di area lain,alasan_date
kembali menjadi katolik,tertanam_di_gereja_lain
Permintaan untuk mencoba Date Family,alasan_date
Permintaan untuk mencoba Date Family,alasan_date
requested by daters,others
pindah mengikuti gereja suami,tertanam_di_gereja_lain
pindag date sesuai domisili,lokasi
emailnya lagi error,Admin
sedang mencari DATE baru yang dekat dengan lokasi tinggal,lokasi
double account,Admin
begitu menikah pindah tempat tinggal jadi kejauhan,lokasi
"Selama 8 bulan terakhir, kami berkesempatan untuk mengenal kehidupan Naomi. Dalam perjalanannya, ia menghadapi banyak tantangan hidup—baik dalam hubungan keluarga dan sesama, pekerjaan, keterikatan terhadap entitas di luar Kristus, hingga isu seputar parenting.

Sebagai DL, kami telah berupaya memfasilitasi setiap tantangan tersebut dengan memberikan pandangan yang berlandaskan Alkitab dan pengajaran JPCC. Kami juga mengarahkan Naomi kepada pihak-pihak terkait, seperti tim konseling keluarga, tim doa, dan kelas parenting.

Pada tanggal 29 Juli 2025, setelah vakum dari DATE untuk beberapa waktu, Naomi memutuskan untuk keluar dari komunitas DATE. Secara kebetulan, ia bertemu dengan Ps. Rodko, dan setelah ibadah, ia menyampaikan keinginannya untuk pindah ke DATE lain.

Kami telah mencoba menawarkan opsi untuk merujuknya ke DATE yang sesuai, namun Naomi tetap bersikeras untuk keluar dari DATE.

Naomi merupakan salah satu dari empat pasangan anggota DATE yang keluar dalam waktu berdekatan. Kepergian mereka diduga dipicu oleh adanya perselisihan antara DL dengan salah satu pasangan DM yang bersikap di luar kewajaran.

Terkait hal ini, kami telah berkonsultasi dengan DF, Ps. Ivan, Ps. Alvi dan Ps Rodko. Mereka tetap menganjurkan agar kami terus berupaya memfasilitasi dan membantu mereka sebaik mungkin.",alasan_date
accountnya double,Admin
sudah mendapatkan date baru,alasan_date
S2 dan pindah ke Singapore,lokasi
usia next gen,others
usia next gen,others
terdaftar 2 nama sekaligus,Admin
dater pindah alamat ke area matraman sehingga pindah Date Matraman 3 agar dekat dengan tempat tinggal,alasan_date
sudah tidak beribadah di JPCC,others
sudah tidak beribadah di JPCC,others
"seharusnya masih masuk transition, tapi karena kepencet accept jadi mau minta re-join",Admin
Pergantian akun (double),Admin
"Sudah 1,5 tahun tidak join Date dan tidak memberi kabar",tidak_ada_respon
tidak pernah hadir dan tidak ada respon,tidak_ada_respon
mau add istrinya duluan karena istrinya yg daftarin anak,Admin
ketrima skolah di Luar Negri (Perancis),perbedaan_musim_kehidupan 
akan ada peoject ke luar kota cukup lama,perbedaan_musim_kehidupan 
bekerja di luar pulau,lokasi
Pindah lokasi domisili dan akan mencari Date lain yang dekat dgn lokasi mereka saat ini,lokasi
Pindah ke gereja suami.,tertanam_di_gereja_lain
pindah kerja ke Kamboja,lokasi
"Selain memang tidak cocok dengan salah 1 member, kebetulan pindah kantor dan mau fokus dengan pekerjaan dulu",alasan_date
"mau pindah ke date couple di bsd 77 , udh coba transfer data tp sepertinya appsnya lg error..dan udh komunikasii juga sama DL di bsd 77",alasan_date
ka Lontar akan pindah ke Dubai untuk urusan pekerjaan,lokasi
Vincent pindah domisili ke Bandung,lokasi
test,Admin
Pindah ke Jepang bersama suami,lokasi
pindah kerja ke Kalimantan,lokasi
Ybs memutuskan utk tidak bergabung di Date PI3,others
jarang hadir,tidak_ada_respon
Menggantikan DL,others
DF pengganti,others
pindah domisili ke Surabaya,lokasi
sudah join date lain,alasan_date
sudah ada nama nya cuman msh di date krna kmren beda pasword muncul di aplikasi jdi di accep lagi.,Admin
penutupan DATE dan sudah menginfokan kepada DM,alasan_date
penutupan DATE dan sudah menginfokan kepada DM,alasan_date
penutupan DATE dan sudah menginfokan kepada DM,alasan_date
penutupan DATE dan sudah menginfokan kepada DM,alasan_date
penutupan DATE dan sudah menginfokan kepada DM,alasan_date
date currently is not active,alasan_date
date currently is not active,alasan_date
date currently is not active,alasan_date
date currently is not active,alasan_date
date currently is not active,alasan_date
date currently is not active,alasan_date
Rest in Peace,others
"tidak pernah hadir, tidak ada respon di grup WA, diajak ketemuan juga menghindar terus",tidak_ada_respon
berpindah keyakinan,others
"masih transisi, kepencet accept",Admin
ingin pindah ke date lain,alasan_date
ingin pindah ke date lain,alasan_date
Belum mau tertanam di Date saat ini,others
Belum mau tertanam di Date untuk saat ini,others
cukup 1 saja,others
Sudah berpulang,others
Tidak beribadah di JPCC,others
sedang dlm proses,others
permintaan dari DATE Member,others
permintaan dari DATE Member,others
sudah meninggal 2 thn lalu,others
"Debo herself minta untuk keluar dari Date. Ada beberapa hal yg Debo sampaikan ke saya dan my part mendoakan Debo for peace of mind, keep connected with God",others
harusnya probation dulu karena baru join,Admin
registrasi ulang my jpcc dengan email baru,Admin
pindah tugas ke papua,lokasi
DL sudah mengundurkan diri dan sudah disetujui oleh JPCC. Namun DM belum mau mencari tempat date yang baru. DM hanya hadir 1-2x saja setahun.,alasan_date
DL sudah mengundurkan diri dan sudah disetujui oleh JPCC. Namun DM belum mau mencari tempat date yang baru. DM hanya hadir 1-2x saja setahun.,alasan_date
DL sudah mengundurkan diri dan sudah disetujui oleh JPCC. Namun DM belum mau mencari tempat date yang baru. DM hanya hadir 1-2x saja setahun.,alasan_date
DL sudah mengundurkan diri dan sudah disetujui oleh pihak JPCC. Namun DM tidak mau langsung mencari tempat date yang baru. Selama ini DM pun hanya hadir 1-2x setahun.,alasan_date
date member ingin mencoba gereja lain,tertanam_di_gereja_lain
ybs memilih untum tertanam di gbi wtc karena sekolah minggu anak yang bisa lebih mudah di akses,tertanam_di_gereja_lain
ybs memilih untuk tertanam di gbi WTC karena alasan sekolah minggu anak yang lebih bisa diakses,tertanam_di_gereja_lain
70% sudah dibandung sehingga sudah tidak bisa ikut date dan beribadah di jpcc,lokasi
"Sempat tidak ada respon dan menghilang tanpa ada kabar. CT juga sudah menghubungi dan tdk ada respon. Saat sdh diberitahu akan di-remove secara administrasi, barulah merespon. Itu pun minta waktu utk ga date dulu.",tidak_ada_respon
Kesibukan. Untuk hadir sebulan sekali pun sulit.,waktu_tidak_sesuai
ubah email account ke email lama,Admin
Meninggal pada akhir 2024 lalu. ???,others
ganti nama ke isteri. karena isteri yang cari tiket war,Admin
Tidak pernah hadir di DATE selama 4 bulan dan tidak ada respon sama sekali.,tidak_ada_respon
memilih bergereja di gbi gilgal,tertanam_di_gereja_lain
memilih bergereja di gbi gilgal,tertanam_di_gereja_lain
sudah menikah dan saat ini berdomisili di bogot sehingga tidak lagi bergereja di jpcc,lokasi
pindah kerja ke Korea Selatan selama 2 tahun ke depan,lokasi
ingin coba date lain,alasan_date
belum mau ke gereja,others
sementara cuti dari Date karena pekerjaan sering ke luar negeri,waktu_tidak_sesuai
karena kuliah di China,lokasi
karena masuk ke komunitas lain yg lebih dekat & di kampus,tertanam_di_gereja_lain
mau coba DATE married couple,alasan_date
"DM meminta sabbatical dr date tp mau tetap pelayanan di ministry, setelah diberikan waktu 1 bulan, dan ditanyakan kembali komitmennya di date namun DM tsb merespon dgn tdk proper ke DL (tdk sopan). Dan kejadian ini sdh berulang. Ketika DM diingatkan, DM leave dr WAG dan tdk terima sikapnya dikoreksi oleh DL shg memutuskan untuk leave date.",alasan_date
sudah terdaftar atas nama suami,Admin
pindah ke Los Angelos,lokasi
Study ke luar negeri,lokasi
Memilih tetap ke gereka katolik karena istri dan hanya ikut ibadah JPCC secara online. Dengan berdiskusi akhirnya ybs memilih mengundurkan diri dari Date.,tertanam_di_gereja_lain
ada 2 nama,Admin
nama nya 2 di myjpcc,Admin
sedang sekolah ke luar negeri,lokasi
move abroad,lokasi
study abroad,lokasi
Rumah pindah setelah menikah,lokasi
pindah date baru pi 3,alasan_date
pindah date lain,alasan_date
telah pindah ke luar negeri,lokasi
Pindah date sesuai lokasi domisili,lokasi
Pindah date terkait lokasi,lokasi
Isi reason,others
Belum memutuskan utk tertanam di JPCC,tertanam_di_gereja_lain
mengikuti istri yg memilih keluar utk pindah ke Date lain,alasan_date
memilih keluar utk pindah ke Date lain,alasan_date
"sudah dibicarakan dgn DM dan mungkin saat ini bukan pilihan tepat ke daate kami sehingga tidak pernah hadir (sekitar 8-10 bulan). sudah ditanya problemnya, salah satunya lokasi .. sudah ditawarkan daate lain tetapi belum mau",waktu_tidak_sesuai
jarang hadir,tidak_ada_respon
berhalangan karena sedang kuliah,waktu_tidak_sesuai
"Menikah dan pindah gereja, mengikuti suami.",tertanam_di_gereja_lain
Masih perlu berpikir untuk tertanam di Date,others
Masih perlu berpikir untuk tertanam di Date,others
mau mencari DATE baru,alasan_date
abroad,lokasi
ingin pindah ke DATE baru dekat tempat kerja,lokasi
mau mencoba visit beberapa DATE lain,alasan_date
Kebutuhan Date bersama family sehingga mendapat pendampingan karena special needs,alasan_date
"tidak pernah kebaktian di JPCC, karena sekolah minggu anak",tertanam_di_gereja_lain
block semua nmr dan mengirimkan pesan aneh ke beberapa member dan grup,others
Sudah menemukan date lain yang lebih sesuai lokasi dan range usia DMnya,alasan_date
visit DATE lain yg married couple,alasan_date
Sudah pindah ke USA,lokasi
account lama bermasalah. jd buat account baru,Admin
Ybs tdk ingin kondisinya mempengaruhi date.,others
wanna go overseas,lokasi
sementara,others
sementara pindah keluarkota,lokasi
masih 9 tahun,alasan_date
permasalahan pribadi yang mengharuskan ybs utk mencari Date baru,alasan_date
"sudah pindah ke USA, jadi tdk bisa date lagi di jpcc",lokasi
"muslim, disuruh kembali ke rumah ortunya dan dilarang ke grj, sdh 6 bln tdk hadir",others
DL pindah ke Cibubur,alasan_date
DL pindah ke Cibubur,alasan_date
pindah date,alasan_date
pindah date,alasan_date
DM mendaftar di date lain dan daftar pelayanan tanpa ijin dr date menteng atas 1,alasan_date
DM mengundurkan diri karena mau mencari gereja lain,tertanam_di_gereja_lain
DM mengundurkan diri karena ingin mencari gereja lain,tertanam_di_gereja_lain
pindah bekerja di luar kota,lokasi
pindah bekerja di luar kota,lokasi
masi menimbang,others
"DM memutuskan keluar dari DATE, tidak bersedia dimuridkan lebih lanjut (background muslim)",others
moving abroad,lokasi
migrasi ke date lain untuk date offline,alasan_date
Pindah date,alasan_date
"?Sama dgn Marlyn 0812 88323256 tidk mau membaur, provoke & meng'kotak²an group. 
?Bawa teman dari DATE Cengkareng-1 (chandra & lily), & paksakan untuk berada di 2-DATE. (Teguran bs pd mrka dr DL yg bersangkutan).
?Egois.
?Lbih mau dilayani drpd melayani.
?NO respect kepada sesama DM.
?Sakit hati krna DM lain tdk diijinkan bergabung di 2-Date. ?Menciptakan ketidaknyamanan DM lain.",alasan_date
No longer feeling comfortable with the group,alasan_date
Ganti akun myjpcc,Admin
DL tidak sengaja pencet transfer jadi member.  Ivonne masih masuk probation. DL akan approve lagi u masuk Date,Admin
pindah date,alasan_date
pindah ke luar negeri,lokasi
sudah ada di Date Alsut 1,alasan_date
"?Ex DL GPIB, paksakan komsep dgn cara Gereja lama & bukn JPCC. 
?Bawa teman dari DATE Cengkareng-1 (chandra & lily) & paksakan untuk berada di 2-DATE. Mungkin teguran bs pd mrka jg dr DL yg bersangkutan.
?Dominan.
?Egois krna lbih tua & merasa hrus paling dihormati.
?Lbih mau dilayani drpd melayani.
?NO respect kepada sesama DM apalg DL.
?Sudh tdk merasa nyaman di DATE & menciptakan ketidaknyamanan DM lain.",alasan_date
"absensi di bawah 40%, akan dipertimbangkan masuk kembali setelah ada perbaikan dalam absensi.",tidak_ada_respon
"absensi di bawah 40%, dan pasangan masih ada di myjpcc",tidak_ada_respon
Meninggal Dunia,others
"Valen ingin DATE onsite biar lebih enak dalam sharing dan lain lain, untuk saat ini DK10 masih hybrid dan lebih banyak online.",alasan_date
pindah ke US,lokasi
tidak pernah terdaftar jd DM,Admin
Ga bisa dikasih tau baik2 atas perilaku nya yang dinilai tidak baik oleh CT & DM yang lain!,alasan_date
Pindah ke Bintaro 9 karena tidak bisa transfer data terpaksa di remove,alasan_date
Selalu banyak ketidak cocokan dengan DL dan sempat ribut atau cekcok mulut dengan beberapa DM. Setiap apa yang disampaikan oleh ybs seolah2 harus diikuti dan setiap dikasih tau baik2 selalu merasa paling benar terus.,alasan_date
Pindah Gereja,tertanam_di_gereja_lain
"Akan segera menikah, dan sudah sepakat untuk pindah gereja ke gereja calon istrinya.",tertanam_di_gereja_lain
pindah ke Dallas,lokasi
belum 3 bulan. keburu pencet approved.  masih dlm probation,Admin
Setelah pindah kerja tidak bisa komit di date karena plg malam terus. dan karena sudah tidak pernah datang lebih baik undur diri sampai bisa komit kembali.,waktu_tidak_sesuai
pindah kerja ke papua,lokasi
salah pencet,Admin
melanjutkan sekolah S2 di australia,lokasi
Dengan berat hati mau menginformasikan member saya ini sudah berpulang ke BAPA disurga ??,others
Kezia pindah ke daerah Gading dan mau cari date didaerah Gading,lokasi
sudah tidak pernah datang date dan sedang pindah kr geteja lain,tertanam_di_gereja_lain
"Saat ini menetap di Bali dan sudah beribadah di gereja lokal disana, GMS ?",lokasi
Saat ini menetap di Bali dan sudah beribadah di gereja GMS disana.,tertanam_di_gereja_lain
Belum beribadah di JPCC,tidak_ada_respon
"tercatat jadi DM karena menikah dengan DM, namun sebenarnya belum mau ikut DATE",Admin
"issue dengan istri, sudah difasilitasi namun tetap dirasa perlu ke pindah Date lain.",alasan_date
Rencana akan pindah Date,alasan_date
"pindah ke Date lain karena date kemayoran 18 akan dibubarkan,DL pindah ke Bali",alasan_date
"Sebaiknya bergabung di DATE umum, bukan DATE married couple karena lebih sesuai dengan musim kehidupannya.",alasan_date
lokasi dan sudah tidak pernah hadir,lokasi
pindah negara,lokasi
mau probation di date lain,alasan_date
Pindah ke luar negeri,lokasi
pindah ke Bandung,lokasi
ingin pindah date,alasan_date
sudah pindah gereja,tertanam_di_gereja_lain
sudah berpindah ke gereja lain,tertanam_di_gereja_lain
Tertanam di 2 date,Admin
"email yg terdaftar, error jd ganti account",Admin
lagi kuliah di luar negeri sementara,lokasi
"bekerja shift, tidak bisa hadit di date",waktu_tidak_sesuai
RIP,others
beliau sudah berpulang ke rumah Bapa,others
Pindah ke Canada,lokasi
Pindah ke Kanada.,lokasi
katolik,tertanam_di_gereja_lain
katolik,tertanam_di_gereja_lain
double account,Admin
lebih cocok dgn komunitas teman2 lama seblm multiplikasi,alasan_date
memilih untuk keluar,others
dona telah kembali ke rumah Bapa disurga,others
Pindah ke Canada,lokasi
Ikut ke gereja anaknya,tertanam_di_gereja_lain
DATE Setiabudi 7 tutup,alasan_date
DATE Setiabudi 7 akan tutup,alasan_date
DATE Setiabudi 7 akan ditutup,alasan_date
sedang menempuh studi di luar negeri,lokasi
pindah DATE,alasan_date
sudah kembali ke kota asal dan memutuskan untuk tertanam di komunitas lokal,lokasi
pindah kota,lokasi
keputusan DM,others
keputusan DM,others
Pindah kerja keluar kota,lokasi
Dyen menikah di Makassar 16 November 2024. Dia & suaminya pindah & tertanam ke GBI Bekasi.,tertanam_di_gereja_lain
syatem eror,Admin
daftar ulang,Admin
"Mau mencari Date lain krn season sdh berbeda, Leo jg sdh info bahwa akan mencari Date lain",alasan_date
Pindah keyakinan,others
"mau mencari Date yang lebih cocok, lebih sering onsite",alasan_date
Pindah ke negara lain,lokasi
salah masuk DATE,Admin
beda lokasi dan lbh ke gereja istri,tertanam_di_gereja_lain
ybs sudah meninggal dunia,others
Double,Admin
"Yosep dan Putri pada dasarnya adalah pasangan yg baik, sudah bergabung dengan kami kurang lebih 4 tahun dan berjalan seirama.

Dlm perjalanannya mereka memiliki kedekatan dengan salah satu DM (couple) yang baru join date 6 bulan, dan DM yg baru ini punya keinginan utk melayani.

Dlm prosesnya kami melihat ada excess baggage yg membuat overweight kehidupan DM yg baru ini, seperti masih punya beban utang yg cukup besar, masih social smoker & memiliki double standard, serta motivasi utama adalah untuk kemudahan booking ticketing onsite service anak mrk.

Singkat cerita kami memutuskan utk hold mereka dulu sementara waktu (1-2minggu) utk mrk memulai pelayanan, demi menjaga kondusifitas kedua belah pihak ( DM & JPCC).
Akan tetapi hal tsb membuat mereka sangat marah thd kami, termasuk memaki-maki kami didepan DL kami yg terdahulu.
Fnally mrk memutuskan utk keluar dari date. 

Nah hal itulah yg kemudian mempengaruhi judgement Yosep Putri thd kami sbg  DL, dan pada akhirnya membuat mrk juga memutuskan utk pindah date.

Untuk diketahui bersama, keputusan yg kami buat itu tidak berdasarkan keputusan sepihak, akan tetapi sudah dikoordinasikan dengan chain of command kami yaitu DF  dan sudah disetujui.

Demikian hal ini kami sampaikan untuk bisa dipahami bersama perihal kepindahan Yosep Putri  ke date Jagakarsa 1.

Sincerely yours,
DaNa ( Daniel & Christina)",alasan_date
Pindah date ke Thamrin 2,alasan_date
double registration,Admin
double,Admin
ada alasan pribadi,others
DM Meninggal,others
Akun nya ada 2 yang terdaftar. Mau di maintain hanya 1 buah,Admin
pindah lokasi Date,alasan_date
Transfer ke date Cipete 2,alasan_date
other...,others
mau coba Date yg lain,alasan_date
"pindah domisili tempat tinggal, jauh dari date sehingga susah untuk hadir",lokasi
"Pindah date ke alam sutera 26 date couple , tidak bisa ditrasfer karena di app tidalk muncul date  alam sutera 26, jadi saya remov",Admin
ga sengaja kepencet approve member..,Admin
pindah Gereja,tertanam_di_gereja_lain
alasan pribadi,others
jarang hadir krn lokasi date dan wkt yg kurang sesuai,waktu_tidak_sesuai
jarang hadir krn lokasi date dan wkt yg kurang sesuai,waktu_tidak_sesuai
kesepakatan bersama karena ada masalah internal,others
